,question_code,sentence,polarity_annotation,emotion_annotation,narrative_form,periodical_name,sentiment_pysentimiento,emotion_pysentimiento,nf_sentiment_lexicon_dispecs,nf_sentiment_lexicon_computational,nf_sentiment_lexicon_corrected,lexicon_emotion,manual_lexicon_sent_score,comp_lexicon_sent_score,corr_lexicon_sent_score,sentiment_py,emotion_py,Sentiment-GPT3-simple,sentiment_annotation_list,gpt-3-new,corr_lexicon_sent_score_list,manual_lexicon_sent_score_list,computational_lexicon_sent_score_list
10,G00Q150,"Que vivan contentos, y felices todos los hombres en la tierra, es empressa, à que no se ha atrevido, ni Jupiter, ni yo.",POS,no_agreement,D,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-4_Nr-047_107-698.txt,"AnalyzerOutput(output=POS, probas={POS: 0.854, NEU: 0.130, NEG: 0.016})","AnalyzerOutput(output=joy, probas={joy: 0.992, others: 0.005, sadness: 0.001, surprise: 0.001, disgust: 0.001, fear: 0.000, anger: 0.000})",0.3333333333333333,0.5,0.3333333333333333,others,POS,POS,POS,POS,joy,POS,1,1,1,1,1
11,G00Q151,"Si hablo mucho, si con todos me rio, si me burlo de éste, si al descuido le doy un capirote à aquel, soy malo, soy perverso, soy demasiado astuto.",NEG,no_agreement,D,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-4_Nr-049_107-700.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.628, NEU: 0.352, POS: 0.020})","AnalyzerOutput(output=others, probas={others: 0.918, anger: 0.024, sadness: 0.024, joy: 0.019, disgust: 0.011, fear: 0.002, surprise: 0.002})",-1.0,-1.0,-1.0,sadness,NEG,NEG,NEG,NEG,others,NEG,3,3,3,3,3
12,G00Q153,"Añada Vm. à esto, que tenia una porcion de defectos capitales, por los quales debia ser excluìdo de la Cofradìa; pues ni cantaba, ni tocaba instrumento alguno, ni sabìa mentir, ni engañar, ni murmurar, ni dissimular.",NEG,no_agreement,SP,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxard,"AnalyzerOutput(output=NEG, probas={NEG: 0.819, NEU: 0.165, POS: 0.016})","AnalyzerOutput(output=anger, probas={anger: 0.617, others: 0.270, disgust: 0.077, sadness: 0.027, joy: 0.003, fear: 0.003, surprise: 0.002})",-1.0,-1.0,-1.0,others,NEG,NEG,NEG,NEG,anger,NEG,3,3,3,3,3
13,G00Q154,"Yo sè que su caracter es de amar, y desear lo justo; y desde luego, para que Vms. queden mas satisfechas, le escribirè, à fin de que ataque los vicios en su raíz, y piense sobre la educacion de los hombres, como que de ella se origina toda la corrupcion de la sociedad.",NEU,no_agreement,FP,1763-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-2_Nr-018_105-647.txt,"AnalyzerOutput(output=NEU, probas={NEU: 0.633, POS: 0.269, NEG: 0.098})","AnalyzerOutput(output=others, probas={others: 0.814, anger: 0.100, sadness: 0.063, disgust: 0.016, joy: 0.004, fear: 0.002, surprise: 0.001})",0.42857142857142855,0.42857142857142855,0.42857142857142855,anger,POS,POS,POS,NEU,others,POS,2,1,1,1,1
14,G00Q155,"Amigo mio, es defecto de historia pensar de este modo: desde los Griegos hay memoria de pendientes, de rizos, de calzados, de adornos, de faustos, de viandas regaladas.",NEU,no_agreement,LB,1763_El-Amigo-y-Corresponsal-del-Pensador_Antonio-Mauricio-Garrido_Vol-1_Nr-3_108-708.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.497, NEU: 0.473, POS: 0.030})","AnalyzerOutput(output=others, probas={others: 0.939, anger: 0.029, sadness: 0.025, disgust: 0.004, joy: 0.001, surprise: 0.001, fear: 0.001})",0.3333333333333333,0.3333333333333333,0.3333333333333333,joy,POS,POS,POS,NEG,others,POS,2,1,1,1,1
15,G00Q161,"Grande es este golpe, no lo niego; pero mayor es el de aquellos, que por descuido, ò ignorancia dieron causa suficiente á este daño.",NEG,no_agreement,EX,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-1_Nr-05_099-395.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.845, NEU: 0.128, POS: 0.027})","AnalyzerOutput(output=sadness, probas={sadness: 0.596, joy: 0.301, others: 0.091, anger: 0.006, disgust: 0.004, surprise: 0.002, fear: 0.001})",-1.0,-1.0,-1.0,joy,NEG,NEG,NEG,NEG,sadness,NEG,3,3,3,3,3
16,G00Q162,"Tan flaca, y consumida, que parecía retrato de la misma necesidad.",NEG,no_agreement,TR,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-1_Nr-06_08C-56.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.759, NEU: 0.224, POS: 0.017})","AnalyzerOutput(output=others, probas={others: 0.696, sadness: 0.214, surprise: 0.042, anger: 0.018, disgust: 0.011, joy: 0.010, fear: 0.009})",-1.0,-1.0,-1.0,others,NEG,NEG,NEG,NEG,others,NEG,3,3,3,3,3
17,G00Q163,"¿qué otro empleo la dán mas, que obligarla à celebrar unos hombres, que por viles, ò murieron entre las fatigas de un lazo, ò à las iras crueles de una venganza?",NEG,no_agreement,TR,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-1_Nr-08_08C-58.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.933, NEU: 0.061, POS: 0.006})","AnalyzerOutput(output=sadness, probas={sadness: 0.537, anger: 0.298, others: 0.083, disgust: 0.075, surprise: 0.003, fear: 0.003, joy: 0.002})",-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,anger,NEG,NEG,NEG,NEG,sadness,NEG,3,3,3,3,3
18,G00Q164,"Ni tantos ancianos, que en la mas estrecha angustia de la escaséz, buscan el pan con el doble sudor de su rostro, sudan en adquirirle mendigando, y sudan con la vergüenza de haberle de procurar pidiendo.",NEG,no_agreement,F,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-1_Nr-10_091-146.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.919, NEU: 0.073, POS: 0.008})","AnalyzerOutput(output=anger, probas={anger: 0.807, disgust: 0.125, sadness: 0.061, others: 0.003, fear: 0.002, surprise: 0.001, joy: 0.001})",-1.0,0.0,-1.0,fear,NEG,NEU,NEG,NEG,anger,NEG,3,3,3,3,2
19,G00Q165,"Pero será dichoso, y feliz en su estado: no poseerá abundancias, ni se verá lisonjeado;",POS,no_agreement,EX,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-1_Nr-11_091-147.txt,"AnalyzerOutput(output=POS, probas={POS: 0.724, NEU: 0.262, NEG: 0.014})","AnalyzerOutput(output=joy, probas={joy: 0.684, others: 0.247, sadness: 0.061, anger: 0.003, disgust: 0.002, fear: 0.001, surprise: 0.001})",1.0,1.0,1.0,joy,POS,POS,POS,POS,joy,POS,1,1,1,1,1
20,G00Q166,"No està en esto la gracia, sino es que apenas se vió correspondido, se ausentó de casa, y se fue con sus engaños à otra parte, quedandonos à la Luna de Valencia, sin uno, y sin otro, y la niña tan apesadumbrada, que por poco la pobrecita se muere: estuvo muy mala.",NEG,no_agreement,LB,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-1_Nr-13_091-149.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.977, NEU: 0.021, POS: 0.002})","AnalyzerOutput(output=sadness, probas={sadness: 0.967, anger: 0.020, others: 0.006, disgust: 0.005, joy: 0.001, fear: 0.001, surprise: 0.000})",0.2,0.42857142857142855,0.2,joy,POS,POS,POS,NEG,sadness,NEG,3,3,1,1,1
21,G00Q167,"Qué contento me hallaba, no obstante mi fatalidad, à el mirar, que si me faltaba la hacienda, la tenìa depositada en aquellos, que tanto se ofrecian, y tan promptos habian ocurrido à mi socorro!",POS,no_agreement,SP+EX,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-2_Nr-15_092-198.txt,"AnalyzerOutput(output=POS, probas={POS: 0.580, NEU: 0.340, NEG: 0.080})","AnalyzerOutput(output=joy, probas={joy: 0.977, others: 0.009, sadness: 0.009, surprise: 0.003, disgust: 0.001, fear: 0.001, anger: 0.001})",1.0,1.0,1.0,joy,POS,POS,POS,POS,joy,POS,1,1,1,1,1
22,G00Q168,"porque yo, quando escribo una carta, à excepsion de la fecha, la firma, y el muy señor mio, todo lo demás me cuesta mas gotas de sudor, que si estubiera cabando;",NEG,no_agreement,LB+SP+EX,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-2_Nr-16_091-151.txt,"AnalyzerOutput(output=NEU, probas={NEU: 0.574, NEG: 0.398, POS: 0.028})","AnalyzerOutput(output=others, probas={others: 0.664, sadness: 0.282, anger: 0.040, disgust: 0.005, joy: 0.003, fear: 0.003, surprise: 0.002})",0.0,0.0,0.0,others,NEU,NEU,NEU,NEU,others,NEG,3,3,2,2,2
23,G00Q171,"¡valgate Dios por nombre, que aún assi engendras sustos, parasismos, y aborrecimiento!",NEG,no_agreement,EX,1763_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-2_Nr-26_091-158.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.895, NEU: 0.088, POS: 0.017})","AnalyzerOutput(output=anger, probas={anger: 0.818, disgust: 0.132, others: 0.024, sadness: 0.013, fear: 0.008, joy: 0.002, surprise: 0.002})",1.0,1.0,1.0,anger,POS,POS,POS,NEG,anger,NEG,3,3,1,1,1
24,G00Q172,".¿Pues no há reparado Vm. mi alma (la réplica) à Madama Polonia, que llegò havrá quince dias de Parìs, què manera tan discreta de peynarse, y què bello gusto de Batas que trae?",POS,no_agreement,EX,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-3_Nr-27_091-159.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.744, NEU: 0.222, POS: 0.034})","AnalyzerOutput(output=others, probas={others: 0.593, surprise: 0.218, sadness: 0.104, anger: 0.050, disgust: 0.016, fear: 0.010, joy: 0.008})",1.0,1.0,1.0,joy,POS,POS,POS,NEG,others,POS,1,1,1,1,1
25,G00Q173,"Todo esto llevará con paciencia, si su asèo, y prolixa compostura se ordenára â conplacerme; pero es muy â el contrario, porque su merced es Cortejo, y hace tanta vanidad de serlo, que quando està de humor me refiere las gracias de su querida, me pondera sus chistes, y alaba su hermosura: vea Vm. què refresco para quien se halla atabardillada de Zelos.",NEG,no_agreement,EX+SP,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-3_Nr-28_091-160.txt,"AnalyzerOutput(output=POS, probas={POS: 0.578, NEU: 0.391, NEG: 0.031})","AnalyzerOutput(output=others, probas={others: 0.889, joy: 0.070, sadness: 0.036, anger: 0.002, surprise: 0.001, disgust: 0.001, fear: 0.001})",0.14285714285714285,0.0,0.14285714285714285,anger,POS,NEU,POS,POS,others,NEG,3,3,1,1,2
26,G00Q174,"Lucio es un ingrato, es un Hombre, que entrega â el olvido los mayores favores, pues en el tiempo de su miseria le socorrì con generosidad, y ahora que yá de nadie necessita, no hace caso de quien tanto le sirviò",NEG,no_agreement,EX+F,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-3_Nr-29_091-161.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.924, NEU: 0.066, POS: 0.009})","AnalyzerOutput(output=anger, probas={anger: 0.711, disgust: 0.190, sadness: 0.090, others: 0.005, joy: 0.002, fear: 0.001, surprise: 0.001})",-0.14285714285714285,0.0,-0.14285714285714285,joy,NEG,NEU,NEG,NEG,anger,NEG,3,3,3,3,2
27,G00Q176,"Tenía muchissima confianza de mi, como que se hacía cargo de la prenda, que tenìa en Casa.",POS,no_agreement,SP,11764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-3_Nr-33_091-165.txt,"AnalyzerOutput(output=NEU, probas={NEU: 0.521, POS: 0.448, NEG: 0.032})","AnalyzerOutput(output=others, probas={others: 0.982, surprise: 0.006, sadness: 0.004, fear: 0.004, anger: 0.001, disgust: 0.001, joy: 0.001})",0.3333333333333333,0.5,0.3333333333333333,others,POS,POS,POS,NEU,others,POS,1,1,1,1,1
28,G00Q177,"En pocas partes del Mundo se vè con mas frequencia este desorden, que en esta Ciudad.",NEG,no_agreement,LB,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-3_Nr-34_091-166.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.867, NEU: 0.112, POS: 0.021})","AnalyzerOutput(output=others, probas={others: 0.509, sadness: 0.222, fear: 0.171, surprise: 0.061, anger: 0.024, disgust: 0.010, joy: 0.003})",0.0,0.0,0.0,anger,NEU,NEU,NEU,NEG,others,NEG,3,3,2,2,2
29,G00Q179,"Estas fingidas esperanzas, y las importunas ponderaciones de todos los que me trataban, como conquistados de sus regalos, me llevaron voluntariamente â manos de mi mayor desgracia.  [negative]",NEG,no_agreement,FP,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-3_Nr-37_091-191.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.887, NEU: 0.102, POS: 0.011})","AnalyzerOutput(output=sadness, probas={sadness: 0.966, anger: 0.019, disgust: 0.007, others: 0.006, fear: 0.001, joy: 0.001, surprise: 0.000})",0.0,0.0,0.0,fear,NEU,NEU,NEU,NEG,sadness,NEG,3,3,2,2,2
30,G00Q180,"Si esto intentàra, sería un disparate: lo que culpo, y condeno como indigno, no es aquel sentimiento discreto, que se forma de los males, regulandole siempre con lo justo, para que no exceda su linea, y passe â ser impaciencia, ô desesperacion: no es este, porque assi es precisso, y honesto;",NEU,no_agreement,LB,FP1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-3_Nr-39_091-170.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.859, NEU: 0.129, POS: 0.012})","AnalyzerOutput(output=anger, probas={anger: 0.895, disgust: 0.064, sadness: 0.024, others: 0.014, fear: 0.002, surprise: 0.002, joy: 0.001})",-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,others,NEG,NEG,NEG,NEG,anger,POS,2,1,3,3,3
31,G00Q201,"Examinense las Historias de los Egypcios, y de los Hebreos, y se encontrará crecido numero de impostores, que abusando de la débil credulidad de los hombres, se jactaban de curar las enfermedades mas inveteradas, por medio de amuletos, talismanes, adivinaciones, y especificos.",NEG,no_agreement,FP,1767_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-6_Nr-86_10A-769.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.747, NEU: 0.230, POS: 0.023})","AnalyzerOutput(output=anger, probas={anger: 0.471, disgust: 0.178, others: 0.176, sadness: 0.080, fear: 0.072, surprise: 0.020, joy: 0.003})",-1.0,-0.3333333333333333,-1.0,others,NEG,NEG,NEG,NEG,anger,NEG,3,3,3,3,3
32,G00Q183,"En fin Vm. no estrañe el modo de explicarme, porque realmente estoy loco, no sè lo que me digo: y lo peor es, que aunque lo conozco, no lo puedo remediár",NEG,no_agreement,SP,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-4_Nr-42_091-173.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.933, NEU: 0.064, POS: 0.003})","AnalyzerOutput(output=sadness, probas={sadness: 0.670, others: 0.304, anger: 0.011, fear: 0.007, disgust: 0.004, surprise: 0.002, joy: 0.002})",-1.0,-1.0,-1.0,anger,NEG,NEG,NEG,NEG,sadness,NEG,3,3,3,3,3
33,G00Q184,"Señora Culta, su Carta es un farrago de los mas despreciables, y en su obscuro contexto se mira la satisfaccion de su duda.",NEG,no_agreement,LB,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-4_Nr-44_091-192.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.951, NEU: 0.041, POS: 0.007})","AnalyzerOutput(output=others, probas={others: 0.627, anger: 0.256, disgust: 0.068, sadness: 0.040, surprise: 0.004, fear: 0.003, joy: 0.002})",-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,sadness,NEG,NEG,NEG,NEG,others,NEG,3,3,3,3,3
34,G00Q185,"Yo por mi desgracia me hallo Casada con un Curioso tan fino, que por la menor novedad que se le presente, se estará dos dias sin venir â casa, hasta conseguir hallarse informado de sus menores circunstancias, para despues tener assumpto flamante en las Tertulias",NEG,no_agreement,FP,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-4_Nr-46_091-193.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.708, NEU: 0.283, POS: 0.009})","AnalyzerOutput(output=others, probas={others: 0.800, sadness: 0.170, surprise: 0.010, disgust: 0.006, fear: 0.006, anger: 0.005, joy: 0.002})",0.3333333333333333,0.3333333333333333,0.3333333333333333,joy,POS,POS,POS,NEG,others,NEG,3,3,1,1,1
35,G00Q203,"Llega á tanto nuestra estoildéz, que pasa los limites de lo racional, pues nos dexamos regir de la vanidad, monstruo tan poco escrupuloso, que vive contento en las lobreguezes, siendo solamente éco que resuena, afan de desperdicios, tarea de inutilidades, tela de Arachne, y finalmente, carencia de un todo.",NEG,no_agreement,FP,1779_El-Curioso-Entretenido_Juan-Nosip-y-Vargas_Vol-1_Nr-01_114-850.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.968, NEU: 0.029, POS: 0.004})","AnalyzerOutput(output=anger, probas={anger: 0.843, disgust: 0.140, sadness: 0.011, others: 0.004, fear: 0.001, surprise: 0.001, joy: 0.001})",-0.5,0.3333333333333333,-0.5,joy,NEG,POS,NEG,NEG,anger,NEG,3,3,3,3,1
36,G00Q204,"¿Què mayor locura, que sin embargo de ser yo un hombre docil, de buena pasta, y sin malicia, aseverar, que soy un satyrico, perverso, y mal humorado?",NEG,no_agreement,LB,1779_El-Curioso-Entretenido_Juan-Nosip-y-Vargas_Vol-1_Nr-02_114-851.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.871, NEU: 0.117, POS: 0.012})","AnalyzerOutput(output=anger, probas={anger: 0.679, disgust: 0.243, others: 0.035, surprise: 0.022, fear: 0.011, sadness: 0.009, joy: 0.001})",0.0,0.2,0.0,disgust,NEU,POS,NEU,NEG,anger,NEG,3,3,2,2,1
37,G00Q182,"Todas las Señoras estabamos muy contentas con èl, quien se hacia pagar muy bien por su especial havilidad, y bello gusto: encargandole nosotras, que por ningun motivo vistiesse de aquella manera â ninguna Muger humilde, porque le hariamos dàr de palos, y desterràr de la tierra.",POS,no_agreement,SP,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-4_Nr-47_091-194.txt,"AnalyzerOutput(output=POS, probas={POS: 0.496, NEU: 0.394, NEG: 0.111})","AnalyzerOutput(output=anger, probas={anger: 0.394, sadness: 0.270, others: 0.270, disgust: 0.043, joy: 0.018, surprise: 0.003, fear: 0.002})",1.0,1.0,1.0,joy,POS,POS,POS,POS,anger,POS,1,1,1,1,1
38,G00Q205,"Se le presentaba siempre lleno el semblante de serenidad, y tan contenta como pudiera en medio de la abundancia y las riquezas.",POS,no_agreement,FP,"1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-03_096-324.txt","AnalyzerOutput(output=POS, probas={POS: 0.880, NEU: 0.112, NEG: 0.008})","AnalyzerOutput(output=joy, probas={joy: 0.695, others: 0.291, sadness: 0.009, surprise: 0.002, fear: 0.002, anger: 0.001, disgust: 0.001})",1.0,1.0,1.0,joy,POS,POS,POS,POS,joy,POS,1,1,1,1,1
39,G00Q187,"Pero vease â uno de estos tenidos por infelices, que bien hallado con su suerte, vive apartado de la confussion de las Cortes, y Ciudad es [sic], como todas sus riquezas son verdaderas, sus adornos sencillos, pero suficientes, sus diversiones durables, inocentes, y sossegadas, sin que le quede â el corazon el menor remordimiento de su práctica.",POS,no_agreement,LB+FP,1764_La-Pensadora-Gaditana_Beatriz-Cienfuegos_Vol-4_Nr-49_091-179.txt,"AnalyzerOutput(output=NEU, probas={NEU: 0.448, NEG: 0.379, POS: 0.173})","AnalyzerOutput(output=sadness, probas={sadness: 0.865, others: 0.059, anger: 0.055, disgust: 0.012, joy: 0.006, surprise: 0.001, fear: 0.001})",0.5,0.75,0.5,joy,POS,POS,POS,NEU,sadness,POS,1,1,1,1,1
40,G00Q206,"Y estos mismos amigos le miran con indiferencia, punto menos que en la miseria de que él los sacó, y de que son ellos la verdadera causa.",NEG,no_agreement,S,"1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-07_096-328.txt","AnalyzerOutput(output=NEG, probas={NEG: 0.926, NEU: 0.065, POS: 0.009})","AnalyzerOutput(output=sadness, probas={sadness: 0.668, anger: 0.245, disgust: 0.064, others: 0.018, fear: 0.002, joy: 0.002, surprise: 0.001})",-0.2,-0.2,-0.2,sadness,NEG,NEG,NEG,NEG,sadness,NEG,3,3,3,3,3
