sentence,annotation
"De esto nace que el señor Don Bartolo se constituya paseante de Villa, y que esta única y exclusiva ocupacion le impida el sujetarse al trabajo para mantener con su sudor su infeliz é inútil exîstencia",negative
"Los desgraciados no ven en su padre un protector y zelador de sus felicidades, y sí un monstruo que solo les ha dado el ser para que sean testigos de sus delitos, y esclavos de sus desordenados é injustos caprichos; estas son pues las conseqüencias del juego inmoderado.",negative
"Para hacer que se aborrezca lo malo y se ame lo bueno, agregaré siempre el placer á esto último, y el odio á lo primero.",neutral
"No conocen el dulce placer que resulta de haber socorrido al indigente, y de tomar parte en sus necesidades, y no han gustado aquel consuelo, que tal vez arranca lagrimas á un corazon tierno y sensible al ver el reconocimiento de una familia que ha probado los efectos de su beneficencia",positive
"El padre no podia fiarse de su hijo, la mujer engañaba al marido, el criado era infiel á su amo, la sana amistad, la tierna fraternidad no eran mas que máscaras que ocultaban los mas perversos designios: toda virtud estaba desterrada, reynando en su lugar la hipocresía.",negative
"Si se tropieza con alguno de estos ignorantones de por vida, cuya vanidad y obstinacion son todavia mayores que su necedad, se echa mano del ridículo, de esta feliz arma que ha libertado á la nacion de muchos malos autores, y con esta diversidad de estilos se instruye al público, y se observa aquello de...",neutral
"En estos dudosos é incomprehensibles principios resolvió el Doctor Brown fundar su sistema, un dia en que, segun todas las apariencias, habia usado con exceso de su remedio favorito contra la gota, y estaba, como solemos decir, á mas de media carga.",negative
"Pero todos estos habladores estúpidos y orgullosos, fanáticos ó temerarios, parecia que unian sus gritos para hacer una sola súplica.",negative
"Para decir que esta comedia no es buena no hay necesidad de ensangrentarse añadiendo que el discurso preliminar es un fárrago de ideas insulsas é inconexas expuestas en un estilo todavía mas insulso y despreciable, sin conocimientos, ni gusto, ni lógica siquiera",negative
"No puedo comprehender el origen de tu cobardía, me confundo quando miro tu flaqueza, y que tus contrarios, aunque débiles, han conseguido su fin: quando me creia que ganarias la batalla, te observo entregado á discrecion, rendido por fuerzas inferiores, y asaltada y destruida la fortaleza de tu ciencia",negative
"Ebrios voraces entregaos libremente á vuestros detestables vicios, que no dexareis de experimentar cargado extremamente vuestro obeso cuerpo, perdido enteramente vuestro juicio, y hecho el oprobio hasta de vuestros mayores amigos y parientes.",negative
"Honrado sin afectacion, sincero en realidad, complaciente sin baxeza, servicial sin interes, humano y benéfico, es el santuario de la virtud.",positive
"Mientras esto, no se remedie de algun modo, no hay que contar con algun adelantamiento ni mejora.",negative
"Es cierto que el amor propio conociendo esta verdad suministra á los vengativos razones especiosas para cohonestar sus feas acciones, pero estas mismas demuestran su debilidad y falta de talento.",negative
"Y por último, manifestó su piedad y religión quitando del suplicio a tres reos que iban a ser ajusticiados (juzgo) que en un día privilegiado.",positive
"Porque tú no dudes que la mujer muy hermosa (por lo común) es el peor enemigo del hombre: si es honrada, tiene que defenderse y defenderla de los seductores; si no lo es, tiene que guardarse de ella y de ellos.",negative
"Gente víl, por fin i postre, si no refieralo el hècho.",negative
"Los presumidos que llevan comunmente la voz en las Tertulias, y Estrados, se valen de esta propia manìa de la Moda, para encubrir, y cohonestar su insolente ignorancia.",negative
"Què de gentes de todas classes, y estados se confunden allì, sin respeto, ni consideracion para nadie!",negative
"No hay peor compañia, que la de ancianos encaprichados del privilegio de sus años, que reducidos al silencio, dicen, que las materias no son para los de edad regular.",negative
"Los que llamamos Poderosos, viven en una esplendida, y orgullosa miseria, siempre necessitados;",negative
"Sin embargo de las restricciones de tu honestidad, todo te viene como pintado, y es en tì primor aun el descuido.",positive
"Considereme Vm. pues, raro, delicado, sin contemplacion, pagado de mi dictamen, engreído con un cierto merito, que me he figurado, y finalmente, haciendo tanta vanidad de mi Philosophia, como pudiera un Principe de sus titulos, y de sus Estados;",negative
"Pero aquella Dama, y este Caballero (dice Vm.) son de edad abanzada, para que hayan podido incurrir en semejante ridiculèz!",negative
Está capáz de entristecer à la compañia mas alegre.,negative
"Es solo: incapáz de tener amigos: sin conocer parientes, y casi la mitad de su cuerpo en el sepulcro; y atesora con fatiga para los que han de llenar su memoria de oprobrios.",negative
"Yá véo, que esto no es tan facil, como parece, y que esta operacion pide un genio consumado en el Arte, un gusto, una delicadeza, un tacto fino, un discernimiento justo, y un estudio particular del corazon humano, y de las costumbres, y por desgracia ninguna de estas calidades possee el traductor, quando ha cometido error tan grossero.",negative
Es un Fenix entre los hombres.,positive
"Pero todo esto es inutil, y èl ha hallado el modo de obscurecer las prendas, de que està adornado, entregandose à tantos vicios, y haciendo una vida tan licenciosa, que es el escandalo de la Corte.",negative
"Conociò su yerro, y procurò enmendarlo escribiendo segunda Carta, que empezò por Mi Señor; pero fuè inutil la enmienda.",negative
"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",negative
No es tan facil determinar por dónde se ha de dár principio à la accion Dramatica.,neutral
"Tù debes acordarte de la ternura, con que se portan las madres de mi País: del cuidado, con que nos crian, y de las atenciones, que les merecemos.",positive
"Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.",positive
"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.",negative
"Algunas veces me contento con arquear las cejas, y encoger los hombros.",neutral
"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.",negative
"Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes; y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle; y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.",negative
¿no hay Dios que castigue?,negative
"Ahora bien, yo no pretendo llevar las cosas al extremo.",neutral
"Que vivan contentos, y felices todos los hombres en la tierra, es empressa, à que no se ha atrevido, ni Jupiter, ni yo.",positive
"Si hablo mucho, si con todos me rio, si me burlo de éste, si al descuido le doy un capirote à aquel, soy malo, soy perverso, soy demasiado astuto.",negative
"Añada Vm. à esto, que tenia una porcion de defectos capitales, por los quales debia ser excluìdo de la Cofradìa; pues ni cantaba, ni tocaba instrumento alguno, ni sabìa mentir, ni engañar, ni murmurar, ni dissimular.",negative
"Yo sè que su caracter es de amar, y desear lo justo; y desde luego, para que Vms. queden mas satisfechas, le escribirè, à fin de que ataque los vicios en su raíz, y piense sobre la educacion de los hombres, como que de ella se origina toda la corrupcion de la sociedad.",neutral
"Amigo mio, es defecto de historia pensar de este modo: desde los Griegos hay memoria de pendientes, de rizos, de calzados, de adornos, de faustos, de viandas regaladas.",neutral
"Grande es este golpe, no lo niego; pero mayor es el de aquellos, que por descuido, ò ignorancia dieron causa suficiente á este daño.",negative
"Tan flaca, y consumida, que parecía retrato de la misma necesidad.",negative
"¿qué otro empleo la dán mas, que obligarla à celebrar unos hombres, que por viles, ò murieron entre las fatigas de un lazo, ò à las iras crueles de una venganza?",negative
"Ni tantos ancianos, que en la mas estrecha angustia de la escaséz, buscan el pan con el doble sudor de su rostro, sudan en adquirirle mendigando, y sudan con la vergüenza de haberle de procurar pidiendo.",negative
"Pero será dichoso, y feliz en su estado: no poseerá abundancias, ni se verá lisonjeado;",positive
"No està en esto la gracia, sino es que apenas se vió correspondido, se ausentó de casa, y se fue con sus engaños à otra parte, quedandonos à la Luna de Valencia, sin uno, y sin otro, y la niña tan apesadumbrada, que por poco la pobrecita se muere: estuvo muy mala.",negative
"Qué contento me hallaba, no obstante mi fatalidad, à el mirar, que si me faltaba la hacienda, la tenìa depositada en aquellos, que tanto se ofrecian, y tan promptos habian ocurrido à mi socorro!",positive
"porque yo, quando escribo una carta, à excepsion de la fecha, la firma, y el muy señor mio, todo lo demás me cuesta mas gotas de sudor, que si estubiera cabando;",negative
"¡valgate Dios por nombre, que aún assi engendras sustos, parasismos, y aborrecimiento!",negative
".¿Pues no há reparado Vm. mi alma (la réplica) à Madama Polonia, que llegò havrá quince dias de Parìs, què manera tan discreta de peynarse, y què bello gusto de Batas que trae?",positive
"Todo esto llevará con paciencia, si su asèo, y prolixa compostura se ordenára â conplacerme; pero es muy â el contrario, porque su merced es Cortejo, y hace tanta vanidad de serlo, que quando està de humor me refiere las gracias de su querida, me pondera sus chistes, y alaba su hermosura: vea Vm. què refresco para quien se halla atabardillada de Zelos.",negative
"Lucio es un ingrato, es un Hombre, que entrega â el olvido los mayores favores, pues en el tiempo de su miseria le socorrì con generosidad, y ahora que yá de nadie necessita, no hace caso de quien tanto le sirviò",negative
"Tenía muchissima confianza de mi, como que se hacía cargo de la prenda, que tenìa en Casa.",positive
"En pocas partes del Mundo se vè con mas frequencia este desorden, que en esta Ciudad.",negative
"Estas fingidas esperanzas, y las importunas ponderaciones de todos los que me trataban, como conquistados de sus regalos, me llevaron voluntariamente â manos de mi mayor desgracia.",negative
"Si esto intentàra, sería un disparate: lo que culpo, y condeno como indigno, no es aquel sentimiento discreto, que se forma de los males, regulandole siempre con lo justo, para que no exceda su linea, y passe â ser impaciencia, ô desesperacion: no es este, porque assi es precisso, y honesto;",neutral
"Examinense las Historias de los Egypcios, y de los Hebreos, y se encontrará crecido numero de impostores, que abusando de la débil credulidad de los hombres, se jactaban de curar las enfermedades mas inveteradas, por medio de amuletos, talismanes, adivinaciones, y especificos.",negative
"En fin Vm. no estrañe el modo de explicarme, porque realmente estoy loco, no sè lo que me digo: y lo peor es, que aunque lo conozco, no lo puedo remediár",negative
"Señora Culta, su Carta es un farrago de los mas despreciables, y en su obscuro contexto se mira la satisfaccion de su duda.",negative
"Yo por mi desgracia me hallo Casada con un Curioso tan fino, que por la menor novedad que se le presente, se estará dos dias sin venir â casa, hasta conseguir hallarse informado de sus menores circunstancias, para despues tener assumpto flamante en las Tertulias",negative
"Llega á tanto nuestra estoildéz, que pasa los limites de lo racional, pues nos dexamos regir de la vanidad, monstruo tan poco escrupuloso, que vive contento en las lobreguezes, siendo solamente éco que resuena, afan de desperdicios, tarea de inutilidades, tela de Arachne, y finalmente, carencia de un todo.",negative
"¿Què mayor locura, que sin embargo de ser yo un hombre docil, de buena pasta, y sin malicia, aseverar, que soy un satyrico, perverso, y mal humorado?",negative
"Todas las Señoras estabamos muy contentas con èl, quien se hacia pagar muy bien por su especial havilidad, y bello gusto: encargandole nosotras, que por ningun motivo vistiesse de aquella manera â ninguna Muger humilde, porque le hariamos dàr de palos, y desterràr de la tierra.",positive
"Se le presentaba siempre lleno el semblante de serenidad, y tan contenta como pudiera en medio de la abundancia y las riquezas.",positive
"Pero vease â uno de estos tenidos por infelices, que bien hallado con su suerte, vive apartado de la confussion de las Cortes, y Ciudad es , como todas sus riquezas son verdaderas, sus adornos sencillos, pero suficientes, sus diversiones durables, inocentes, y sossegadas, sin que le quede â el corazon el menor remordimiento de su práctica.",positive
"Y estos mismos amigos le miran con indiferencia, punto menos que en la miseria de que él los sacó, y de que son ellos la verdadera causa.",negative
"Se vè sujeto â las trayciones, expuesto â los engaños de tantos viles intentos como procuran usurparle su hacienda.",negative
"De esta continuacion de aplausos ha venido â hacerse de un genio tan atrevido, y falto de politica, que â todos increpa de ignorantes, sola su opinion es la mas segura, y lo que es mas (aquí entro yo) quiere, y pretende que las Damas, que nos hallàmos oprimidas de mil cuydados domesticos, seámos Philosophas, Naturalistas, Hystoriadoras, y Geometras.",negative
"Esta sábia República tenia establecida la pena de muerte muy raras veces, y solo por crimenes muy graves.",positive
"Mil veces quise matarme, pero mi desgracia quitò el valor â mi determinacion: y combatida por los fingidos halagos de al  que me diò el ser, la obedecí ignorante, y engañada, llenandose desde aquel dia mi Casa de abundancia, ê infamia",negative
"pero un accidente peor para mí que una buena enfermedad me obliga à guardar Casa por algunos dias, y à no presentarme donde Gentes me vean la cara, hasta que à todas se les haya borrado de la imaginacion mi fisonomía.",negative
"Sabe valerse, perdida enteramente la verguenza, de mil artificios, que el uso, y una larga experiencia le han enseñado, para aparentar su miseria.",negative
"Pues, Amigo, sepa Vm. que todo se lo llevó el diablo, si Vm. no me vale;",negative
"Si tal vez sus expresiones son un poco atrevidas, y sus comparaciones odiosas, deben permitirse à un hombre, que no ha nacido con la obligacion de hablarnos segun nuestro gusto.",neutral
"Tal qual diamantillo tiene; pero lo demás son chispas, y todo ello de muy mal gusto.",negative
"A mí me hizo reir este ofrecimiento, mas no asi al otro, à quien antes le irritó tanto, que à breves razones vino à decirle que era un herege, y que su proposicion era no tan solamente impía, heretica, erronea, y escandalosa, sino tambien capciosa, y piarum aurium ofensiva:",negative
"La epidemia, Señor, ha cundido tanto, que el infierno no se conoce, ni las gentes se entienden.",negative
"Es un cobarde, un vil, un indigno de los honores que goza, y de alternar con quien tenga el corazon bien puesto.",negative
"Pero en cambio de estos beneficios, ¡qué tributos de reconocimiento no adquirió aquel magnánimo corazon!",positive
"¿con qué cara podrá decir este animal, que tiene sesenta años, no haviendo aprendido en ellos à dominar sus pasiones, à despojarse de los antojos de la niñéz, y de los ímpetus ciegos de la juventud, à conocer los principios de su Religion, ni à dár tributo de adoracion al Señor de todo lo criado?",negative
"Finalmente, èl és racional y como tal apetece las diversiones.",positive
"¿Sabia vmd. acaso hasta que nos reveló el secreto dicho venerable Colector de Comedias, que Racine habia sido un imbecil, Cosme Damian, un hombre falto de juicio, y de talento crítico?",negative
"¿qué juicio formaria su merced de un Médico que llamado á curar un Escrofuloso, Elephanciano ó Ethico, descuidase estos tres terribles males, y emplease solamente su charlataneria en medicarle un sabañon ó un uñero?",negative
"Ellos están en la posesion (no sé si inmemorial) de divertir y entretener á la cazuela con su buen humor y gracias poëticas, y consiguientemente tienen á su favor todo Madrid.",positive
"pero decir como muchos, eso no vale nada, eso es un asco, y no probarlo, ya vé vmd. que son expresiones muy vagas, muy despreciables, y que todo hombre de juicio se rie de los que fallan por este estilo.",negative
"Homero era un famoso Astrólogo politico, que adivinando las funestas resultas de semejantes desordenes, queria con la moral de su obra curar males tan graves.",positive
"Un malvado insulano con el fin de enriquecer el Fisco, propuso se confiscasen los bienes de cierto miserable que acababa de ser condenado á muerte.",negative
"mas como toda cosa mortal declina, hace algun tiempo que la tengo tan quebradiza y delicada como puede ser el honor de una dama en boca de un pisaverde.",negative
¡Qué delicia no sería oirlas entonar con sus encantadoras voces el Te Franciscum laudamus por alguna victoria contra infieles!,positive
"Deje de pensar por un rato, y ve aqui que de repente se deshacen todas mis dificultades y temores.",positive
"¿Quántos hay todavia en nuestra España, muy revestidos de Doctores, que no se desprenderán de sus errados systemas, aunque se les ponga á los ojos la evidencia?",negative
"y como nadie hasta ahora se habia acordado de mí para este efecto, y debia trabajarlo todo por mí mismo, me iba desanimando poco á poco de mi empeño.",negative
"¿Y con qué han de pagar los subditos á su Principe las mercedes que les haga, sino de esta manera?",neutral
"La miseria iba á oprimirme, y no me quedaba ya sino este infame medio para librarme de una inminente ruina.",negative
"¿Quién no se horroriza de estas mesas, en las quales nos abstenemos, á la verdad de los manjares prohibidos;",negative
"Yo le confieso á Vm. que si hubiera previsto su colera no hubiera entrado en la disputa, en que insensiblemente nos hemos empeñado, no teniendo yo en ella interés alguno;",neutral
"Le hemos manifestado varias veces quán impropias nos parecen de un hombre bien educado, y quanto nos ofenden éstas y otras expresiones;",negative
"¿Quántas injusticias, quántas intrigas interesadas, quántos proyectos de ambicion le hicieron pasar las noches sin reposo?",negative
"¿Roma, en fin, no fue el terror de las Naciones, en tanto que ningun Ciudadano tuvo por pequeña la porcion de tierra que bastaba para mantener á un hombre:",negative
"¿Qué nacion mas floreciente que los Egypcios no obstante el poder sin limites de sus Reyes, mientras no fueron corrompidos por la ambicion de Sesostris?",neutral
"Vuelve la cabeza el venerable anciano, y vé ¡ó dolor! ¡ó oprobio!",negative
"antes mas me le afeminaron, y era tal el temor que me causaban los Duendes, que en oyendo á á  mis criados algun cuento de estos, al instante llenaba la casa de gritos, y me hacía aguas en la cama. Con que siendo asi,",negative
"Quiso mi desgracia que en aquella tarde viese entre varias Sombras la representacion de un Entierro, que no parecia, sino que ni mas ni menos era un Difunto que llevaban á la hoya entre quatro Terceros:",negative
"á todos los Actores los estimo con igualdad, y miro por sus intereses, adelantamientos, é instruccion, escribiendo apologías imparciales en defensa del Teatro, y asi en nombre de todos los Cómicos Españoles te doy ahora la agencia de los Coliseos de Madrid, con la precisa condicion de que has de repartir este papelito con la mayor brevedad para que se vea en el tribunal de los Literatos.",positive
"y revolviendo en mi memoria quáles serian, se apareció cerca de mí un mancebo de gallarda presencia que uniendo la hermosura con la seriedad presentaba el aspecto mas amable que pudiera figurar la imaginacion.",positive
"Luego á la hora que no quiera creer lo falso, saldrá del error, ó lo evitará.",neutral
Vió en esto el Sacerdote que le asistia un demonio en figura de jóven muy triste y llorando.,negative
"Oyéron los golpes dos menestrales, que trabajaban en el claustro, y saliendo á la Iglesia, no solo viéron á la Imágen bañada en sangre, sino que la oyéron quexarse con amargos y sentidos suspiros.",negative
es menester que se guarde bien de contribuir ni con sus caudales ni con sus tareas á ningun establecimiento nuevo por mas que se ponderen sus ventajas:,neutral
"Mas yo no sé como entorpecidas por una especie de encanto mis piernas, al primer paso que fuí a dar caí tendido en tierra, de que no sin mucha fatiga pude levantarme.",negative
La verdadera gloria consiste en merecer la gloria.,positive
Basten para acreditarlo algunas expresiones que van de bastardilla por su singular belleza y exâctitud.,positive
"Declara este Tribunal que no se admiten empeños ni resortes para que se inserten cartas ni otros papeles en el periódico que publica, pues bastará solo el mérito de la obra para que nosotros lo hagamos sin necesidad de ellos;",neutral
"La aurora de un nuevo periódico se presenta apacible á la sociedad, y la anima con indecible esplendor.",positive
"El sexô femenil se concentró en las gracias naturales y sencillas que le dió naturaleza, suprimió los vaidos fingidos, los melindres pueriles, y dexó de hablar tan á menudo de sus jaquecas y vapores.",positive
"El teatro, decía yo, que deberia ser la escuela de las costumbres de la Nacion, es en España la escuela de la supersticion, del engaño, y de todos los vicios.",negative
"A buen seguro que no es ningun media cuchara, sino un hombre muy hecho, ó se me alcanza poco de achaque de estilos.",positive
"Diferentes sectas religiosas, costumbres diversas dividian las opiniones de los desdichados Selenitas.",negative
"y tales comilonas, las quiero por el provecho de mi salud, en todos los primeros Lunes de cada mes.",positive
"Quémense pues al momento; pero entonces fuera preciso llevar á la hoguera (¡y con quánta mas razon!) todos los ensayos sobre materias particulares, todo discurso suelto, y añadir los compendios, y aun todo libro que tenga índice, pues no se ignora que los índices son, sus maestros mas queridos.",negative
"Nos quexamos continuamente de que nuestros dias son breves, y vivimos como si debiesen ser eternos.",negative
"Los dos sexôs, y todos los estados de la república estan inficionados.",negative
aplaude la buena educacion Francesa;,positive
