Sentence Code,To Annotate,Proposed Polarity,GPT
G00Q203[2].,"Llega á tanto nuestra estoildéz, que pasa los limites de lo racional, pues nos dexamos regir de la vanidad, monstruo tan poco escrupuloso, que vive contento en las lobreguezes, siendo solamente éco que resuena, afan de desperdicios, tarea de inutilidades, tela de Arachne, y finalmente, carencia de un todo.",neutral,Yes
G00Q204[2].,"¿Què mayor locura, que sin embargo de ser yo un hombre docil, de buena pasta, y sin malicia, aseverar, que soy un satyrico, perverso, y mal humorado?",neutral,Yes
G00Q182[2].,"Todas las Señoras estabamos muy contentas con èl, quien se hacia pagar muy bien por su especial havilidad, y bello gusto: encargandole nosotras, que por ningun motivo vistiesse de aquella manera â ninguna Muger humilde, porque le hariamos dàr de palos, y desterràr de la tierra.",neutral,Yes
G00Q205[2].,"Se le presentaba siempre lleno el semblante de serenidad, y tan contenta como pudiera en medio de la abundancia y las riquezas.",neutral,Yes
G00Q187[2].,"Pero vease â uno de estos tenidos por infelices, que bien hallado con su suerte, vive apartado de la confussion de las Cortes, y Ciudad es",neutral,Yes
G00Q206[2].,"Y estos mismos amigos le miran con indiferencia, punto menos que en la miseria de que él los sacó, y de que son ellos la verdadera causa.",neutral,Yes
G00Q186[2].,"Se vè sujeto â las trayciones, expuesto â los engaños de tantos viles intentos como procuran usurparle su hacienda.",neutral,Yes
G00Q188[2].,"De esta continuacion de aplausos ha venido â hacerse de un genio tan atrevido, y falto de politica, que â todos increpa de ignorantes, sola su opinion es la mas segura, y lo que es mas (aquí entro yo) quiere, y pretende que las Damas, que nos hallàmos oprimidas de mil cuydados domesticos, seámos Philosophas, Naturalistas, Hystoriadoras, y Geometras.",neutral,Yes
G00Q207[2].,"Esta sábia República tenia establecida la pena de muerte muy raras veces, y solo por crimenes muy graves.",neutral,Yes
G00Q189[2].,"Mil veces quise matarme, pero mi desgracia quitò el valor â mi determinacion: y combatida por los fingidos halagos de al",neutral,Yes
G00Q208[2].,"¿Quando estaban, digo, en honor entre ellos, la pobreza, el amor al trabajo, el odio à la ociosidad, el desprecio del luxo, y de los deleytes.",neutral,Yes
G00Q209[2].,"Pero entraban los empeños, los regalos, las promesas, ¡y quán dificil era que se resistiese siempre à unas máquinas como estas, capaces de batir la mayor constancia!",neutral,Yes
G00Q210[2].,"pero un accidente peor para mí que una buena enfermedad me obliga à guardar Casa por algunos dias, y à no presentarme donde Gentes me vean la cara, hasta que à todas se les haya borrado de la imaginacion mi fisonomía.",neutral,Yes
G00Q211[2].,"hablo de aquella prodigalidad de ceremonias, y cumplimientos que caracteriza à los Caballeros de Lugar por la mayor parte;",neutral,Yes
G00Q212[2].,"Sabe valerse, perdida enteramente la verguenza, de mil artificios, que el uso, y una larga experiencia le han enseñado, para aparentar su miseria.",neutral,Yes
G00Q213[2].,"Pues, Amigo, sepa Vm. que todo se lo llevó el diablo, si Vm. no me vale;",neutral,Yes
G00Q190[2].,"De aqui es que no hablará una palabra en asunto de la moda, aquel ente que, en sentir de nuestros Catones, trae en perpetuo jiro y continuo mobimiento los cerebros vacíos, ligeros, y volatiles.",neutral,Yes
G00Q214[2].,"Si tal vez sus expresiones son un poco atrevidas, y sus comparaciones odiosas, deben permitirse à un hombre, que no ha nacido con la obligacion de hablarnos segun nuestro gusto.",neutral,Yes
G00Q191[2].,"Tal qual diamantillo tiene; pero lo demás son chispas, y todo ello de muy mal gusto.",neutral,Yes
G00Q215[2].,"A mí me hizo reir este ofrecimiento, mas no asi al otro, à quien antes le irritó tanto, que à breves razones vino à decirle que era un herege, y que su proposicion era no tan solamente impía, heretica, erronea, y escandalosa, sino tambien capciosa, y piarum aurium ofensiva:",neutral,Yes
G00Q192[2].,"La epidemia, Señor, ha cundido tanto, que el infierno no se conoce, ni las gentes se entienden.",neutral,Yes
G00Q216[2].,"Es un cobarde, un vil, un indigno de los honores que goza, y de alternar con quien tenga el corazon bien puesto.",neutral,Yes
G00Q193[2].,"Selvas, y bosque de amor, dehesas, sotos, y campos, quien os cantaba soltero, os viene à mugir casado.",neutral,Yes
G00Q217[2].,una margen bordada de citas es un espectáculo que de modo le arrebata que es capaz de devorar un libro en que la vea.,neutral,Yes
G00Q194[2].,"Pero en cambio de estos beneficios, ¡qué tributos de reconocimiento no adquirió aquel magnánimo corazon!",neutral,Yes
G00Q195[2].,"Pero ello es, que se encuentran padres de este temple: que son muchos los que se encuentran; y que su conducta es prueba evidente de que aquellos gastos se sacrifican al orgullo, y la vanidad, sin tener parte en ellos el sincero deseo de hacer bien à sus hijos",neutral,Yes
G00Q196[2].,"¿con qué cara podrá decir este animal, que tiene sesenta años, no haviendo aprendido en ellos à dominar sus pasiones, à despojarse de los antojos de la niñéz, y de los ímpetus ciegos de la juventud, à conocer los principios de su Religion, ni à dár tributo de adoracion al Señor de todo lo criado?",neutral,Yes
G00Q197[2].,"Pues como iba diciendo; apenas llegué à tocar los rayos de la razon, me vì sin Padres, y baxo la educacion de un Tio mio, hombre machucho, afilosofado, y dotado de aquel intrinseco azibarado ingrediente, con que diz que se destetan los Niños",neutral,Yes
G00Q198[2].,"Finalmente, èl és racional y como tal apetece las diversiones.",neutral,Yes
G00Q218[2].,"¿Sabia vmd. acaso hasta que nos reveló el secreto dicho venerable Colector de Comedias, que Racine habia sido un imbecil, Cosme Damian, un hombre falto de juicio, y de talento crítico?",neutral,Yes
G00Q199[2].,"¿Què mayor locura, que sin embargo de ser yo un hombre docil, de buena pasta, y sin malicia, aseverar, que soy un satyrico, perverso, y mal humorado?",neutral,Yes
G00Q219[2].,"¿qué juicio formaria su merced de un Médico que llamado á curar un Escrofuloso, Elephanciano ó Ethico, descuidase estos tres terribles males, y emplease solamente su charlataneria en medicarle un sabañon ó un uñero?",neutral,Yes
G00Q220[2].,"Ellos están en la posesion (no sé si inmemorial) de divertir y entretener á la cazuela con su buen humor y gracias poëticas, y consiguientemente tienen á su favor todo Madrid.",neutral,Yes
G00Q221[2].,"Mi temperamento, naturalemente vigoroso, halagaba infinitamente las inclinaciones de un corazon demasiado simple y amoroso.",neutral,Yes
G00Q222[2].,El amor de la verdad gobierna mi pluma y no me permitirá exâgerar ni declamar vanamente.,neutral,Yes
G00Q223[2].,"pero decir como muchos, eso no vale nada, eso es un asco, y no probarlo, ya vé vmd. que son expresiones muy vagas, muy despreciables, y que todo hombre de juicio se rie de los que fallan por este estilo.",neutral,Yes
G00Q224[2].,"Homero era un famoso Astrólogo politico, que adivinando las funestas resultas de semejantes desordenes, queria con la moral de su obra curar males tan graves.",neutral,Yes
G00Q225[2].,"Un malvado insulano con el fin de enriquecer el Fisco, propuso se confiscasen los bienes de cierto miserable que acababa de ser condenado á muerte.",neutral,Yes
G00Q226[2].,"mas como toda cosa mortal declina, hace algun tiempo que la tengo tan quebradiza y delicada como puede ser el honor de una dama en boca de un pisaverde.",neutral,Yes
G00Q227[2].,¡Qué delicia no sería oirlas entonar con sus encantadoras voces el Te Franciscum laudamus por alguna victoria contra infieles!,neutral,Yes
G00Q228[2].,"Deje de pensar por un rato, y ve aqui que de repente se deshacen todas mis dificultades y temores.",neutral,Yes
G00Q229[2].,"¿Quántos hay todavia en nuestra España, muy revestidos de Doctores, que no se desprenderán de sus errados systemas, aunque se les ponga á los ojos la evidencia?",neutral,Yes
G00Q230[2].,"La eloqüencia, el bello gusto, la erudicion, el decoro, la urbanidad, el chiste, todo desapareció con el Juzgado y no habrá ya quien se atreva á sucederle dignamente.",neutral,Yes
G00Q231[2].,"y como nadie hasta ahora se habia acordado de mí para este efecto, y debia trabajarlo todo por mí mismo, me iba desanimando poco á poco de mi empeño.",neutral,Yes
G00Q232[2].,"Una cosa semejante creen ellos que ha de sucederles en el Tribunal Supremo, respecto de aquellas acciones delinqüentes, en las quales tienen por complice á la muchedumbre.",neutral,Yes
G00Q233[2].,"¿Y con qué han de pagar los subditos á su Principe las mercedes que les haga, sino de esta manera?",neutral,Yes
G00Q234[2].,"La miseria iba á oprimirme, y no me quedaba ya sino este infame medio para librarme de una inminente ruina.",neutral,Yes
G00Q235[2].,"Animo, amigos, nadie tema, nadie Su punzante aguijon, que yo persigo En mi Sátira al Vicio, no al vicioso.",neutral,Yes
G00Q236[2].,"¿Quién no se horroriza de estas mesas, en las quales nos abstenemos, á la verdad de los manjares prohibidos;",neutral,Yes
G00Q237[2].,"Yo le confieso á Vm. que si hubiera previsto su colera no hubiera entrado en la disputa, en que insensiblemente nos hemos empeñado, no teniendo yo en ella interés alguno;",neutral,Yes
G00Q238[2].,"Le hemos manifestado varias veces quán impropias nos parecen de un hombre bien educado, y quanto nos ofenden éstas y otras expresiones;",neutral,Yes
G00Q239[2].,"¿Quántas injusticias, quántas intrigas interesadas, quántos proyectos de ambicion le hicieron pasar las noches sin reposo?",neutral,Yes
G00Q240[2].,"y adormeciendonos sobre nuestros males, que por ser de este mundo no son sino verdaderos bienes;",neutral,Yes
G00Q241[2].,"¿Roma, en fin, no fue el terror de las Naciones, en tanto que ningun Ciudadano tuvo por pequeña la porcion de tierra que bastaba para mantener á un hombre:",neutral,Yes
G00Q242[2].,"¿Qué nacion mas floreciente que los Egypcios no obstante el poder sin limites de sus Reyes, mientras no fueron corrompidos por la ambicion de Sesostris?",neutral,Yes
G00Q243[2].,"Vuelve la cabeza el venerable anciano, y vé ¡ó dolor! ¡ó oprobio!",neutral,Yes
G00Q244[2].,"antes mas me le afeminaron, y era tal el temor que me causaban los Duendes, que en oyendo á á",neutral,Yes
G00Q245[2].,"Quiso mi desgracia que en aquella tarde viese entre varias Sombras la representacion de un Entierro, que no parecia, sino que ni mas ni menos era un Difunto que llevaban á la hoya entre quatro Terceros:",neutral,Yes
G00Q246[2].,"á todos los Actores los estimo con igualdad, y miro por sus intereses, adelantamientos, é instruccion, escribiendo apologías imparciales en defensa del Teatro, y asi en nombre de todos los Cómicos Españoles te doy ahora la agencia de los Coliseos de Madrid, con la precisa condicion de que has de repartir este papelito con la mayor brevedad para que se vea en el tribunal de los Literatos.",neutral,Yes
G00Q247[2].,"y revolviendo en mi memoria quáles serian, se apareció cerca de mí un mancebo de gallarda presencia que uniendo la hermosura con la seriedad presentaba el aspecto mas amable que pudiera figurar la imaginacion.",neutral,Yes
G00Q248[2].,"Luego á la hora que no quiera creer lo falso, saldrá del error, ó lo evitará.",neutral,Yes
G00Q249[2].,Vió en esto el Sacerdote que le asistia un demonio en figura de jóven muy triste y llorando.,neutral,Yes
G00Q250[2].,"Oyéron los golpes dos menestrales, que trabajaban en el claustro, y saliendo á la Iglesia, no solo viéron á la Imágen bañada en sangre, sino que la oyéron quexarse con amargos y sentidos suspiros.",neutral,Yes
G00Q25[1,"La fama y los ilustres contratiempos Recordará con lágrimas Prosigue Si esto no basta, y te dirá qué año.",neutral,Yes
G00Q251[2].,es menester que se guarde bien de contribuir ni con sus caudales ni con sus tareas á ningun establecimiento nuevo por mas que se ponderen sus ventajas:,neutral,Yes
G00Q253[2].,"Mas yo no sé como entorpecidas por una especie de encanto mis piernas, al primer paso que fuí a dar caí tendido en tierra, de que no sin mucha fatiga pude levantarme.",neutral,Yes
G00Q252[2].,es menester que se guarde bien de contribuir ni con sus caudales ni con sus tareas á ningun establecimiento nuevo por mas que se ponderen sus ventajas:,neutral,Yes
G00Q254[2].,La verdadera gloria consiste en merecer la gloria.,neutral,Yes
G00Q255[2].,Basten para acreditarlo algunas expresiones que van de bastardilla por su singular belleza y exâctitud.,neutral,Yes
G00Q256[2].,"Declara este Tribunal que no se admiten empeños ni resortes para que se inserten cartas ni otros papeles en el periódico que publica, pues bastará solo el mérito de la obra para que nosotros lo hagamos sin necesidad de ellos;",neutral,Yes
G00Q257[2].,"La aurora de un nuevo periódico se presenta apacible á la sociedad, y la anima con indecible esplendor.",neutral,Yes
G00Q258[2].,"El sexô femenil se concentró en las gracias naturales y sencillas que le dió naturaleza, suprimió los vaidos fingidos, los melindres pueriles, y dexó de hablar tan á menudo de sus jaquecas y vapores.",neutral,Yes
G00Q259[2].,"Me parece haber hablado sin adhesion, y sin usar de términos ofensivos, solo por el bien de la humanidad.",neutral,Yes
G00Q260[2].,"El teatro, decía yo, que deberia ser la escuela de las costumbres de la Nacion, es en España la escuela de la supersticion, del engaño, y de todos los vicios.",neutral,Yes
G00Q261[2].,"A buen seguro que no es ningun media cuchara, sino un hombre muy hecho, ó se me alcanza poco de achaque de estilos.",neutral,Yes
G00Q262[2].,"Diferentes sectas religiosas, costumbres diversas dividian las opiniones de los desdichados Selenitas.",neutral,Yes
G00Q263[2].,"y tales comilonas, las quiero por el provecho de mi salud, en todos los primeros Lunes de cada mes.",neutral,Yes
G00Q264[2].,"Quémense pues al momento; pero entonces fuera preciso llevar á la hoguera (¡y con quánta mas razon!) todos los ensayos sobre materias particulares, todo discurso suelto, y añadir los compendios, y aun todo libro que tenga índice, pues no se ignora que los índices son, sus maestros mas queridos.",neutral,Yes
G00Q265[2].,"Nos quexamos continuamente de que nuestros dias son breves, y vivimos como si debiesen ser eternos.",neutral,Yes
G00Q266[2].,"Ya he demostrado que el tiempo que se pierde en el ocio, es el mas largo y mas enfadoso.",neutral,Yes
G00Q267[2].,"Los dos sexôs, y todos los estados de la república estan inficionados.",neutral,Yes
G00Q268[2].,aplaude la buena educacion Francesa;,neutral,Yes
G00Q269[2].,"Si vmd. ama mas las alabanzas que el mérito, aborrezca á lo ménos todo lo que es comun, y no tolere que ninguna persona tenga la osadía de alabarle en su presencia.",neutral,Yes
G00Q270[2].,"Es gallardo jóven, tiene los ojos mas negros, y los dientes mas blancos que he visto en el mundo.",neutral,Yes
