question_code,previous_sentence,to_annotate,following_sentence
G01Q67,-,"Señor Regañon: Como buen amante de la patria no puedo ménos de confesar á vmds. que habiendo leido los Números 1 y 2 de su periódico acerca de las costumbres públicas, me llené de alegría al ver los juiciosos y acertados pensamientos que en él se vertian, y me propuse desde luego escribir á vmd. dándole las gracias por su comunicacion, y por el buen zelo que muestra en un negocio que tanto interesa á la felicidad de la nacion.","Hágame vmd. ahora el favor de insertar en su periódico, si es que se reconoce de alguna utilidad, la Disertacion presente, y las que adelante remita con este ú otro objeto, y baxo del apellido de: El Amigo de los jóvenes, pues siendo la infelicidad de éstos la que resulta contra el bien del Estado, me es forzoso reconocer y arrancar desde la cuna las raices profundas de nuestras depravadas costumbres."
G01Q69,"Por el contexto y la inverosimilitud de los hechos que refiere esta carta, se conoce claramente que su autor no ha intentado mas que reunir muchos de los agüeros y falsas creencias que circulan en Inglaterra entre los hombres de pocas luces; pero como quiera que sea, siempre será una ridiculez la mas insensata el persuadirse ni hacer caso de semejantes tonterías.","Todavía por nuestra desgracia no se han acabado de desarraygar entre la gente crédula los temores que conservan á los duendes, difuntos y fantasmas.",-
G01Q72,"No es aqui como en nuestros Lugares, donde conviene, acordar, del mejor possible, las gracias, y donayres, que son rusticos efectos de una grossera, y mal dirigida educacion de los Labradores, con los primores que pide el Arte.","Pero baylar como acabamos de vèr, y en Madrid, y esto, como Vmd. dice, para agradar à gentes de depravado gusto; què es, sino degradar la sublimidad de los talentos, y envilecer la capacidad de los hombres.","Quanto reirìa mi Sobrino Anselmo, si viera esto; pues à pesar de su poca experiencia del mundo, no dexa de burlarse de sus Camaradas, quando los vè dàr aquellas ancadas, y bolteretas contrahechas, sin que se hagan cargo que repugnan à la Naturaleza, y à la excelencia del baylar."
G00Q55,Parte con increible afan parecia instar à la feracidad del suelo: parte se ocupaba en los trabajos de diferentes artes.,"Reynaba en todos el contento, y el ayre resonaba con los alegres cantares de que acompañaban su trabajo.",Los frutos que éste les producia corrian llenos de alegria à ofrecerlos à una Ninfa que aparecia sentada en medio de la llanura.
G00Q59,"¿A Vmd. le parece, repuso mi acomodador, que quando yo le he preguntado si se inclinaba á consorcio, era la tal interrogacioncilla hecha á humo de pajas?","En esa calle que atraviesa, número 6. quarto principal, vive cierto sugeto que tiene una hija única, de edad de treinta y siete años, muy linda de cara, muy rica, muy hacendosa, muy humilde, muy buena christiana, muy juiciosa, y por decirlo en pocas palabras muy completa y acabada.","Esta tal  : : : Aquí le interrumpí su muy eloqüente, muy persuasiva, muy justa y muy ventajosa propuesta, diciendole: todos esos muyes, Señor mio, con que Vmd. pretende ensalzar el mérito de esa Dama, estarán muy bien dichos, muy bien apropiados, y muy al caso."
G00Q60,"El qual con una sorna y sonrisa capaz de dar un cólico á la Cibeles del Prado, me dixo:","No crea Vmd. amigo mio, que lo que habló ese sugeto en el Café sea original, ni tomado de Libros Extrangeros: los ignorantes como Vmd. (perdoneme que le hable con esta claridad) y otros que andan por esas calles de todos estados, clases y condiciones, blasfeman de quanto ignoran: Católico y muy Católico, Español y muy Español, dixo eso y mucho mas un siglo y medio hace.","No puede ser le repliqué, porque yo puedo asegurar que jamás he oído proposiciones tan temerarias ni tan ofensivas á qualesquiera orejas piadosas."
G00Q62,"Dióme ésta unos ojuelos de los que juego tan gachonamente, que solo uno que tenga alma de cantaro dexará de quedar despachurrado si los observa con atencion.","Mis cabellos son mas obscuros que el corazon de un ignorante, y tan largos, que pueden ser envidiados de las mismisimas trenzas de las Ninfas del Parnaso; mi cuerpo es tan alto como pueden ser los pensamientos de Vmd. con el aditamento de un tallecito mas estrecho que la mano de un avaro.","Mis palabras y expresiones tienen toda aquella dulzura que los azucarados y melifluos labios de la Diosa de Cytheréa, y en fin tengo tantas gracias, que en paralelo con ellas, es desgraciadisimo el cinto de esta Maja de Marte."
G00Q64,"Y puede ser que sean treinta, porque me acuerdo que siendo las dos muy niñas, concurriamos juntas á la amiga, y á jugar á las muñecas en casa de una Señora que vivia en la plazuela del Beso: ¡pues el arrimadito que lleva siempre!","Es una vergüenza, un escándalo",No sé como hay maridos que tal sufran.
G00Q65,"Quando en los matrimonios no hay mas que amistad, quando no se aman con ternura los que le han abrazado, y quando las satisfaciones y disgustos no son perfectamente recíprocos, está mal acoplada aquella union.",¿Hé de verme yo obligada hasta la muerte (que continuamente estaré deseando por considerarla término de mis infelicidades) á hacerme criada del que aborrezco?,"¿Y ha de estar siempre con máscara mi corazon fingiendo un amor que no tengo, ni podré tener?"
G00Q66,"¡y qué digna de compasion es qualquiera muger casada, virtuosa, apasionada y no de quien debe estarlo!","¡Cómo podré sufrir las finezas de la obligacion de mi consorte, quando le aborrezco!",¡Ah qué dolor!
G00Q67,"Pintándose los indios la piel, hallan en esto una ventaja real, dictada por la naturaleza para la conservacion de su exîstencia: pero los Européos, que sin necesidad usan de tan ridículos y pecaminosos ardides, para adornar el semblante, la garganta y demás partes del cuerpo que llevan desnudas, no tienen para ello otro motivo ni intencion que ocultar los defectos, ó recibidos de la naturaleza, ú ocasionados de la edad; y esto nadie pordá negar que es una hipocresia y maldad verdadera.","Donde el frio es excesivo y no permite á los Americanos andar desnudos, es notorio que visten de pieles para defenderse de su rigor: y nosotros pudiendo usar de otros arbitrios de que carecen aquellos Salvages, compramos dichas pieles á excesivos precisos, siendo en nuestra opinion el mas magnífico y noble adorno con que nos podemos presentar en las mas brillantes y numerosas concurrencias.",Fuera de que si los Americanos adornan su cuerpo pintando en él varios animales; frutas y flores.
G00Q69,"Los mas de los ricos corriendo sin cesar tras de quimeras, vienen à gastar su oro en estiercol, y no llegan jamás à conocer el precio de la vida.","Semejantes al perro de la fabula, que suelta el bocado que tiene entre los colmillos por el que juzga ver en el agua; dexan los verdaderos placeres que la naturaleza les está franqueando al rededor suyo, por otros que les finge su imaginacion à larga distancia.","Yo al contrario, persuadido à que los mios tendrian tanto mas de realidad, quanto aquella tuviese mas parte en ellos, para alhagar estos sentidos, que me ha dado, procuraria acercarme à ella quanto fuese dable."
G00Q72,"Que era negra la nieve; Pero, ¡oh quántos nos muestra Anaxàgoras de estos la edad nuestra!","No puedo sufrir ver hacer actos de virtud y devocion á los logreros, usureros, comerciantes de mala fé, avaros, codiciosos, y á los de una economia sórdida","¿Qué es verlos á estos, indefectibles en los jubileos, freqüentar los Sacramentos, y otros actos de Religion, como la Misa diaria?"
G00Q75,"¿y esto lo conseguirá retirada á un quarto, en la sola compañía de su madre, que acaso se crió con las mismas ideas, sin mas ocupacion que las labores de la ahuja, sin mas leccion acaso que la del libro Gritos del Purgatorio y del Infierno, ó quando mas Luz de la fé y de la ley?¡Qué útil será esta niña en la sociedad!",¡Qué bien sabrá discernir el caracter de los hombres!,"¡Con quánto conocimiento y tino se presentará al mas digno quando sea pretendida! Pero, ¿qué digo? antes debo preguntar: ¿y habrá quien pretenda á una Señorita sin conocer sus qualidades, su talento, sus inclinaciones y demás?"
G00Q80,"¡Valgame Dios, que paciencia es menester para tanta impertinencia de estos Críticos!",No puedo menos de irritarme al oir semejantes despropositos y locuras.,¿No sabe el Señor Severo que el escribir bien pertenece á la Ortografía?
G00Q83,"Me pareció pues, que alucinado con los incentivos de la deidad á quien yo aspiraba poseer, desprecié el consejo de mi filósofo; me abandoné á la pasion.","Deliberé poner en práctica mi intento á toda costa, y que á pocos dias de casado comencé á ver la imagen funesta de mis infortunios, y á sufrir todas las penalidades que me anunció.","Me pareció que mi dinero se habia desaparecido: que mi muger gobernaba la casa segun su capricho: que veía á ésta cubierta del luxo mas excesivo: que se hallaba freqüentemente en los paseos, en las tertulias, en los coliseos, y en todas las diversiones mundanas: que estaba muy favorecida de los obsequiantes que con la mayor libertad visitaban mi casa: que todo en ésta era un desórden."
G00Q84,"Me pareció que mi dinero se habia desaparecido: que mi muger gobernaba la casa segun su capricho: que veía á ésta cubierta del luxo mas excesivo: que se hallaba freqüentemente en los paseos, en las tertulias, en los coliseos, y en todas las diversiones mundanas: que estaba muy favorecida de los obsequiantes que con la mayor libertad visitaban mi casa: que todo en ésta era un desórden.","Que yo pobre de mí me veía lánguido y estenuado, postrado en una cama, abandonado hasta del mas ínfimo sirviente.","Todo esto, y mucho mas que callo, me parecia estar pasando por mí, quando un criado que entró á llamarme para comer cortó el hilo de este trágico suceso."
G00Q85,"Aquí entra la vanidad, pues para no obscurecer el lustre de sus timbres, y sin embargo de que carecen de las virtudes, heroycidad, riquezas ó industria de sus progenitores, conservan no obstante la superioridad imaginaria sobre los demas que llaman inferiores.","De esto nace que el señor Don Bartolo se constituya paseante de Villa, y que esta única y exclusiva ocupacion le impida el sujetarse al trabajo para mantener con su sudor su infeliz é inútil exîstencia","No confundo, señor Regañon, con estos entes á aquella clase privilegiada y compuesta de sugetos virtuosos que recibieron el justo premio debido á sus buenos servicios y acciones brillantes."
G00Q86,"Pero ¿á quién no enternecerán sus inocentes hijos, que sin mas delito que la bárbara obcecacion de sus crueles padres, se hallan destinados á padecer el rigor de la indigencia, y condenados á la mendicidad, siendo su inocencia la víctima sacrificada á las fieras y desarregladas pasiones de su progenitor?","Los desgraciados no ven en su padre un protector y zelador de sus felicidades, y sí un monstruo que solo les ha dado el ser para que sean testigos de sus delitos, y esclavos de sus desordenados é injustos caprichos; estas son pues las conseqüencias del juego inmoderado.","¿Para quándo, señor Caton, guarda vmd. su ciencia y persuasiva retórica?"
G00Q91,"Los míseros mortales echáron léjos de sí á la verdad, recibiendo en su lugar á la mentira; pero fuéron tantos los enredos, los fraudes, chismes, bolinas, traiciones y calumnias que les atraxo este cambio, que estuvo á punto de perecer toda la especie humana.","El padre no podia fiarse de su hijo, la mujer engañaba al marido, el criado era infiel á su amo, la sana amistad, la tierna fraternidad no eran mas que máscaras que ocultaban los mas perversos designios: toda virtud estaba desterrada, reynando en su lugar la hipocresía.","Finalmente, todas las naciones, el orbe entero no era mas que turbacion, enredo y confusion."
G00Q94,"Que quando la quantidad, qualidad y modificacion de estas sustancias y cosas eran proporcionadas al grado de excitabilidad de cada individuo (variable en los diferentes periodos y vicisitudes de la vida) resultaba el equilibrio en que consiste la salud, así como de la falta de aquel se originaban diferentes desórdenes y enfermedades","En estos dudosos é incomprehensibles principios resolvió el Doctor Brown fundar su sistema, un dia en que, segun todas las apariencias, habia usado con exceso de su remedio favorito contra la gota, y estaba, como solemos decir, á mas de media carga.","En tal estado no es extraño que hubiese tenido la extravagancia de señalar con el nombre de excitabilidad esta virtud de los seres vivientes, que otro hubiera llamado sensibilidad física, ó páxaro verde: con el de excitamento (por falta e otro apelativo mas adequado) el efecto que resultaba de la aplicacion de estos estímulos en el sugeto dotado de excitabilidad; y potencias excitantes á los referidos agentes, como si fueran algunas señoras. ¿Y quiénes son esas señoras?..."
G00Q95,"Si Xuijoto hubiera tomado su parecer, el mundo hubiera sido mejor formado.","Pero todos estos habladores estúpidos y orgullosos, fanáticos ó temerarios, parecia que unian sus gritos para hacer una sola súplica.",¿Por qué se nos ha de ocultar lo futuro?
G00Q97,"Combatido por unos campeones tan ilustrados desertaste de las banderas literarias, y andas errante y prófugo llorando tu desventura.","No puedo comprehender el origen de tu cobardía, me confundo quando miro tu flaqueza, y que tus contrarios, aunque débiles, han conseguido su fin: quando me creia que ganarias la batalla, te observo entregado á discrecion, rendido por fuerzas inferiores, y asaltada y destruida la fortaleza de tu ciencia","No sé que satisfaccion pueda resultarte de verte envuelto en el mas horrible y despreciable ocio, sin vigor ni aliento para volver á la campaña: extraño que la República de literatos, que tanta grabitacion sostiene en el día, no haya dado las mas serias providencias para hacerte volver á tus respectivos deberes."
G00Q98,"¡Cómo te manifiesta la fruta que mas anhelabas en los banquetes, y cómo te la ofrece en toda su delicadeza y sazon, para aumentar mas tu despecho y rabia! Pero aun no se limita tu deseo al goce de la fruta, quando rabiando de una insaciable sed quieres apagarla con el agua que te rodea por todos lados, y á imitacion del árbol huye de tus labios, á pesar de las vivas solicitudes que haces por beberla.","Ebrios voraces entregaos libremente á vuestros detestables vicios, que no dexareis de experimentar cargado extremamente vuestro obeso cuerpo, perdido enteramente vuestro juicio, y hecho el oprobio hasta de vuestros mayores amigos y parientes.","¡Infelices, que os dexais arrastrar de estos falsos placeres!"
G00Q101,"Nunca ocioso ni acongojado; dedicado sin distraccion á sus cuidados domésticos, pero sin desasosiego; liberal sin ser pródigo; honesto, compasivo, ni olvida los intereses propios, ni dexa de atender quanto puede á los desvalidos y necesitados;","Honrado sin afectacion, sincero en realidad, complaciente sin baxeza, servicial sin interes, humano y benéfico, es el santuario de la virtud.",¡Ah! ¡quién no amará á este hombre! ¿Qué héroe nos presenta la antigüedad que se le asemeje? ¿Le hay tan digno de nuestros respetos?
G00Q103,"Y cómo lo remediarán los pobres maestros, de niños, por mas zelosos é instruidos que sean, siendo regularmente forasteros, sin estimacion, sin tener apénas que comer, siempre sujetos á quatro ignorantes, que mandan en los pueblos, que apénas saben leer, ni son capaces de conocer el mérito ni demérito de la enseñanza, y son no obstante los árbitros de tan importante asunto?","Mientras esto, no se remedie de algun modo, no hay que contar con algun adelantamiento ni mejora.",Sus ideas de vmd. son demasiado finas y sutiles para que generalmente se adopten.
G00Q104,"Nada de racional, nada de verdadero valor hay en ella; el vengativo solo prueba que es susceptible de dolor y de cólera, ¿no lo prueba tambien un toro rejoneado quando hace quanto está de su parte para matar á quien le hirió?","Es cierto que el amor propio conociendo esta verdad suministra á los vengativos razones especiosas para cohonestar sus feas acciones, pero estas mismas demuestran su debilidad y falta de talento.","No es una cosa lastimosa ver á esos hombres cargados con el peso de mil quiméricos planes de venganza, que jamas pueden efectuar, llevar pintado en sus rostros el odio y el rencor, presentar en sus personas la imágen de la envidia quando ven prosperar al que aborrecen, y demostrar en sus acciones y dichos la desesperacion de su corazon, porque no pueden aniquilarle?"
G00Q106,"En un año de una escasez espantosa de maíz, fabricó ese alcázar de Chapultepec, en cuya obra gastó muchos pesos; y libró del hambre devoradora a muchos infelices.","Y por último, manifestó su piedad y religión quitando del suplicio a tres reos que iban a ser ajusticiados (juzgo) que en un día privilegiado.","Estas virtudes le granjearon el título recomendable de humano, que los soberbios fanfarrones volvieron en el de popular."
G00Q107,"Mira aquellos jóvenes azucarados, derritiendo sus corazones en obsequio de unas hermosuras, cuya soberbia no aspira más que a multiplicar el número de sus necios adoradores; y si por fortuna distingue a alguno en su cariño, no es más que para habilitar su cabeza en pocos días de aquello de que se hacen los tinteros.","Porque tú no dudes que la mujer muy hermosa (por lo común) es el peor enemigo del hombre: si es honrada, tiene que defenderse y defenderla de los seductores; si no lo es, tiene que guardarse de ella y de ellos.","¡Cuántos pobres han acabado en los presidios, en las cárceles, en San Hipólito y en las manos de los asesinos y de ellas mismas, sin más delito que tener mujeres hermosas!"
G00Q109,"En fin èste mal figúra, preciado de Caballero, de la cesta, un mordiscon tiró al Fraile en el pescuezo, sobre ciertos interèses, que le cardaron à un Reyno; que ásta en ser tirános, tienen enbídia èstos sujetos.","Gente víl, por fin i postre, si no refieralo el hècho.","Doliole al Fraile el bocado, i como un hebréo, ardiendo, en estocádos de Plumas, la vìda de èste trastuelo le escribió, al amo con saña contando dos mil carredos."
G00Q110,"Esta poderosa hechicera tiene apresada la voluntad, hasta de aquellos, que por obligacion de su estado debiessen dàr pùblica demostracion de sus talentos, y honrar con ellos à su Patria.","Los presumidos que llevan comunmente la voz en las Tertulias, y Estrados, se valen de esta propia manìa de la Moda, para encubrir, y cohonestar su insolente ignorancia.","Dicen, que el ocuparse en comunicar al Pueblo los bienes intelectuales, que cada uno posser"
G00Q117,"Què infelicidad, que à una rèplica que se les pone, resumen su presuncion, y ciencia, con decir, que no se sabe con quien se habla, que sus antepassados eran yà famosos en la batalla de Pavia, y que su ascendencia no cede à la del Duque de Arschot.","No hay peor compañia, que la de ancianos encaprichados del privilegio de sus años, que reducidos al silencio, dicen, que las materias no son para los de edad regular.",Y hay respuesta à una invectiva de esta naturaleza?
G00Q121,"Assi, pues, como no podemos, propiamente hablando, llamar ricos, sino à aquellos que se contentan con lo que tienen, y que no quieren con continuos ensayos afinar mas, y mas sus operaciones: assimismo podemos assegurar, que entre las Naciones cultas no hallarèmos posseedores de la Piedra Philosophal, ni Modistas de la razon, y de la justicia, sino entre la gente mediana, que sabe reprimir sus deseos, y que siempre se representa tener mas bienes, que los que rigurosamente necessita para vivir honradamente","Los que llamamos Poderosos, viven en una esplendida, y orgullosa miseria, siempre necessitados;","porque en lugar de contentarse con el oro de veinte y quatro quilates que alcanzaron, le quieren sublimar mas, à fin de superar su calidad natural con otra quimerica, y aparente."
G00Q124,"Hasta aqui me he mostrado por el lado, en que mi figura es regular; pero falta vér el reverso de la medalla.","Considereme Vm. pues, raro, delicado, sin contemplacion, pagado de mi dictamen, engreído con un cierto merito, que me he figurado, y finalmente, haciendo tanta vanidad de mi Philosophia, como pudiera un Principe de sus titulos, y de sus Estados;","Y concluirá Vm. que soy como los demás hombres, ni mas ni menos: esto es, un compuesto de vicios, y de virtudes"
G00Q125,"Yá advino lo que Vm. está notando en el aposento immediato. Un Caballero anciano, que parece ha encontrado el movimiento continuo: que no cessa de registrar con un anteojo los demás aposentos; y que à cada instante se buelve à hablar à la Dama, à quien acompaña. Véa Vm. aqui otros dos Cortejos.","Pero aquella Dama, y este Caballero (dice Vm.) son de edad abanzada, para que hayan podido incurrir en semejante ridiculèz!","Amigo mio, Vm. es disculpable en ignorar, que el Cortejo se acomoda à todas edades; mas no lo es en dejar de conocer la corrupcion del corazon humano, y los medios, y rodéos de que se sirve, para dissimular, y disfrazar sus extravagancias."
G00Q128,"No ha hecho voto de pobreza, y vive en una indigencia vergonzosa, y despreciable. Su afán se reduce à adquirir riquezas.","Es solo: incapáz de tener amigos: sin conocer parientes, y casi la mitad de su cuerpo en el sepulcro; y atesora con fatiga para los que han de llenar su memoria de oprobrios.","¿Tratase de que se haga un vestido? Dice que es luxo, y se enfurece contra la vanidad."
G00Q133,"Bayla con mucha gracia. Dicen los que lo han visto, que en el manejo de un Caballo hay pocos que le igualen; y tiene buenos principios de Mathematicas.","Pero todo esto es inutil, y èl ha hallado el modo de obscurecer las prendas, de que està adornado, entregandose à tantos vicios, y haciendo una vida tan licenciosa, que es el escandalo de la Corte.","Señora, Vm. me confunde, y para mì es tan nuevo lo que oygo, que me hace dudar si sueño, ò estoy despierto."
G00Q134,No tuvo respuesta (como era natural) de su pretension.,"Conociò su yerro, y procurò enmendarlo escribiendo segunda Carta, que empezò por Mi Señor; pero fuè inutil la enmienda.","El Ministro no havia podido aùn digerir el Señor, y tambien lo dexò sin respuesta."
G00Q136,"Diceles palabras injuriosas, y ellos la responden sin decoro.","Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.","Suspendese por un rato esta gresca, y passa Madama al Tocador."
G00Q140,"Procure Vm. restablecerse; y si quando lo estè, quisiere tomar mi consejo, yo serìa de dictamen, de que Vm. se fuesse á vivir á la Casa de Campo.","Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.",-
G00Q141,"Este modo, aunque es un poco mas barbaro, que el mio, era mucho mas commodo para èl; y no yo, que soy tan mentecato, que no solo no quiero, que se ahorquen, sino que me mato porque vivian agradablemente, y lloro porque no lo hacen.","Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.","Hà muchos dias, que como Vm., me he metido à Pensador, y desde que tomè tan ruin oficio, estoy lleno de hypocondrìa, triste, y tan flaco, que apenas me conocería la madre que me pariò."
G00Q143,"Entonces se apoderaron de mi alma mil afectos, los unos agradables, y los otros tristes; y quando vì al momento despues, que se apoderaban de su cuerpo amado los symptomas de la muerte: quando vì, que sus hermosos ojos se nublaban, y se fijaban en mì en sus ultimos esfuerzos, no pude mas, y perdì toda mi paciencia.","Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.","Llamela. ¡Pero ay! Un vahido me cogiò: me pareciò, que todo el quarto rodaba, y la mas preciosa de todas las mugeres havia fallecido."
