,question_code,previous_sentence,to_annotate,following_sentence,annotation
53,G01Q26,"Entonces el Superior le dixo: amigo, si no hay otro, ese es motivo pequeño; prosigue lo empezado cumpliendo con tu obligacion, y dexa que digan lo que quieran, que con el tiempo se cansaràn","Lo mismo dice el Entretenido, y pasa adelante.",Vaya de Aventuras.,no emotion
57,G00Q55,Parte con increible afan parecia instar à la feracidad del suelo: parte se ocupaba en los trabajos de diferentes artes.,"Reynaba en todos el contento, y el ayre resonaba con los alegres cantares de que acompañaban su trabajo.",Los frutos que éste les producia corrian llenos de alegria à ofrecerlos à una Ninfa que aparecia sentada en medio de la llanura.,joy
59,G00Q56,"Que promueva, ò à lo menos que no turbe por manera alguna la supersticion. Que en medio de esto clame, que está perdida la Religion entre nosotros, porque ha visto tal vez negar la autoridad de un Santo Padre en una question de Fysica, ò impugnar la famosa potestad indirecta del Papa.","Que enemigo de toda nueva resolucion sea el Patrono declarado de la holgazanería, el error, y la ignorancia,","Que quando se trate de derechos, que disputen poderosos y miserables, hable siempre en favor de aquellos, porque no se diga que defiende à gente ruin. Pues aunque en otro tiempo se creía que los Eclesiásticos debian ser los Protectores de las viudas, huerfanas, y miserables, variaron con los tiempos las circunstancias",disgust
66,G00Q64,"Y puede ser que sean treinta, porque me acuerdo que siendo las dos muy niñas, concurriamos juntas á la amiga, y á jugar á las muñecas en casa de una Señora que vivia en la plazuela del Beso: ¡pues el arrimadito que lleva siempre!","Es una vergüenza, un escándalo",No sé como hay maridos que tal sufran.,anger
75,G00Q72,"Que era negra la nieve; Pero, ¡oh quántos nos muestra Anaxàgoras de estos la edad nuestra!","No puedo sufrir ver hacer actos de virtud y devocion á los logreros, usureros, comerciantes de mala fé, avaros, codiciosos, y á los de una economia sórdida","¿Qué es verlos á estos, indefectibles en los jubileos, freqüentar los Sacramentos, y otros actos de Religion, como la Misa diaria?",disgust
80,G00Q80,"¡Valgame Dios, que paciencia es menester para tanta impertinencia de estos Críticos!",No puedo menos de irritarme al oir semejantes despropositos y locuras.,¿No sabe el Señor Severo que el escribir bien pertenece á la Ortografía?,anger
83,G00Q84,"Me pareció que mi dinero se habia desaparecido: que mi muger gobernaba la casa segun su capricho: que veía á ésta cubierta del luxo mas excesivo: que se hallaba freqüentemente en los paseos, en las tertulias, en los coliseos, y en todas las diversiones mundanas: que estaba muy favorecida de los obsequiantes que con la mayor libertad visitaban mi casa: que todo en ésta era un desórden.","Que yo pobre de mí me veía lánguido y estenuado, postrado en una cama, abandonado hasta del mas ínfimo sirviente.","Todo esto, y mucho mas que callo, me parecia estar pasando por mí, quando un criado que entró á llamarme para comer cortó el hilo de este trágico suceso.",sadness
104,G00Q117,"Què infelicidad, que à una rèplica que se les pone, resumen su presuncion, y ciencia, con decir, que no se sabe con quien se habla, que sus antepassados eran yà famosos en la batalla de Pavia, y que su ascendencia no cede à la del Duque de Arschot.","No hay peor compañia, que la de ancianos encaprichados del privilegio de sus años, que reducidos al silencio, dicen, que las materias no son para los de edad regular.",Y hay respuesta à una invectiva de esta naturaleza?,disgust
106,G00Q121,"Assi, pues, como no podemos, propiamente hablando, llamar ricos, sino à aquellos que se contentan con lo que tienen, y que no quieren con continuos ensayos afinar mas, y mas sus operaciones: assimismo podemos assegurar, que entre las Naciones cultas no hallarèmos posseedores de la Piedra Philosophal, ni Modistas de la razon, y de la justicia, sino entre la gente mediana, que sabe reprimir sus deseos, y que siempre se representa tener mas bienes, que los que rigurosamente necessita para vivir honradamente","Los que llamamos Poderosos, viven en una esplendida, y orgullosa miseria, siempre necessitados;","porque en lugar de contentarse con el oro de veinte y quatro quilates que alcanzaron, le quieren sublimar mas, à fin de superar su calidad natural con otra quimerica, y aparente.",disgust
111,G00Q126,"Note Vm. la agitacion, que muestra: se sienta, se levanta, suspira, quiere hablar, y parece que no halla voces.",Está capáz de entristecer à la compañia mas alegre.,"Sin embargo, su pretendida indisposicion sirve de pretexto al humor, que lo domìna, y lejos de hacerle despreciable, como merecia su ridiculèz, está agotando la lastima, y la compassion de todos los concurrentes.",sadness
119,G00Q133,"Bayla con mucha gracia. Dicen los que lo han visto, que en el manejo de un Caballo hay pocos que le igualen; y tiene buenos principios de Mathematicas.","Pero todo esto es inutil, y èl ha hallado el modo de obscurecer las prendas, de que està adornado, entregandose à tantos vicios, y haciendo una vida tan licenciosa, que es el escandalo de la Corte.","Señora, Vm. me confunde, y para mì es tan nuevo lo que oygo, que me hace dudar si sueño, ò estoy despierto.",disgust
127,G00Q141,"Este modo, aunque es un poco mas barbaro, que el mio, era mucho mas commodo para èl; y no yo, que soy tan mentecato, que no solo no quiero, que se ahorquen, sino que me mato porque vivian agradablemente, y lloro porque no lo hacen.","Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.","Hà muchos dias, que como Vm., me he metido à Pensador, y desde que tomè tan ruin oficio, estoy lleno de hypocondrìa, triste, y tan flaco, que apenas me conocería la madre que me pariò.",sadness
129,G00Q142,"Yà he dicho à Vm. que yo me lo passo solo las noches, y los dias en mi quarto, mano á mano con mi imaginacion, y passeandome sin cessar, agitado de los pensamientos, que me ocupan, y tienen en continuo movimiento","Algunas veces me contento con arquear las cejas, y encoger los hombros.","Otras veces grito, me enfado, patèo, y me como las uñas.",no emotion
131,G00Q143,"Entonces se apoderaron de mi alma mil afectos, los unos agradables, y los otros tristes; y quando vì al momento despues, que se apoderaban de su cuerpo amado los symptomas de la muerte: quando vì, que sus hermosos ojos se nublaban, y se fijaban en mì en sus ultimos esfuerzos, no pude mas, y perdì toda mi paciencia.","Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.","Llamela. ¡Pero ay! Un vahido me cogiò: me pareciò, que todo el quarto rodaba, y la mas preciosa de todas las mugeres havia fallecido.",sadness
137,G00Q152,"¿Tymandro, hombre de providad?",¡què mal lo conoce V. M.!,"Si yo dijera . . . . . pero me cuesta mucha violencia decir las cosas, como las siento, quando se trata de descubrir defectos agenos: no puedo conmigo: yo no sè hablar mal de nadie: ademàs de que Tymandro fuè amigo mio, y aun hoy sè yo, que me cuenta entre sus mas apassionados.",surprise
145,G00Q164,"En este no despreciable animalito pudieran aprender à vivir quantos desgraciados de ambos sexos andan por esas calles oprimidos de la ultima miseria, siendo el cansancio importuno de muchos, y ocasiones virtuosas de pocos, y no se vieran à cada paso tantas infelices viudas, que fundan su corto alimento en el penoso sonrojo de buscarle de puerta en puerta;","Ni tantos ancianos, que en la mas estrecha angustia de la escaséz, buscan el pan con el doble sudor de su rostro, sudan en adquirirle mendigando, y sudan con la vergüenza de haberle de procurar pidiendo.","¡O, qué desgracia! ¡qué suerte tan infelíz! ¡pero qué locura!",sadness
151,G00Q171,"Hà de sabér Vm. que todos estos son temóres de la pluma, por no atreverse â delinear el nombre de mi endiablada indisposicion: pero como es precisso que confiesse de plano, para que me aplíque el remedio, aunque duplìque mi sentimiento, se lo hé de referir por estenso: tengo...","¡valgate Dios por nombre, que aún assi engendras sustos, parasismos, y aborrecimiento!",Tengo ...aùn no me permite escrivir el sobresalto.,disgust
155,G00Q174,"No se oye mas comun declamacion en todas partes, que èsta:","Lucio es un ingrato, es un Hombre, que entrega â el olvido los mayores favores, pues en el tiempo de su miseria le socorrì con generosidad, y ahora que yá de nadie necessita, no hace caso de quien tanto le sirviò","Vm. tiene razón, y es muy cierto, que si es assi como lo publìca, que se halla con bastantes motivos su quexa.",disgust
157,G00Q176,"Nunca le ví con recelo, ni sospecho de mi procedèr, porque su buen corazon le apartaba el pensamiento de todo lo malo: es verdàd que no tenìa de què: bonita soy yo para esso: hablàr, chanzeár, y divertirme con todo el Mundo, que esto no es ningun sacrilegio: pero meterme en honduras, guarda Pablo, esso no, que no soy tan tonta, que no sepa donde me aprieta el zapato.","Tenía muchissima confianza de mi, como que se hacía cargo de la prenda, que tenìa en Casa.","De esta manera lo passaba como una Reyna, servida, cortejada, y llena de Visitas â todas horas: sin que por esto, Señora Pensadora, me llevássen algun pedazo: entonces estaba alegre, contenta, gorda, y hermosa, que era un regalo el verme: bien podìa meter ruído en todas partes, y mas de quatro embidiosas tenía, porque sin dificultad me llevaba las atenciones de todos: sin que por esto diesse con los precipicios, las ruínas, los riesgos eminentes, que Vm. promete de su propria cosecha.",trust
160,G00Q179,"y si hé de confessar la verdad, me discurrìa por dichosa quando conseguìa un Hombre por Marido, que daba â entendèr, pondría todo su cuydado en corresponderme, y desvelarse en amarme: de modo que yà estavan demás los ruegos, quando se puso engañada de su parte mi voluntad.","Estas fingidas esperanzas, y las importunas ponderaciones de todos los que me trataban, como conquistados de sus regalos, me llevaron voluntariamente â manos de mi mayor desgracia.",-,sadness
166,G00Q184,"¿Para decirme, que tiene â un Primo suyo por Cortejo, y que duda, que por ser su Pariente se deslize à la nota del Mundo, y se vèa comprehendida en las satyras, que se han suscitado contra las Damas Cortejos, tenia tanto que discurrir, ni molestarse?","Señora Culta, su Carta es un farrago de los mas despreciables, y en su obscuro contexto se mira la satisfaccion de su duda.","¿No dice Vm. que se quieren, y que el tal Señor mio la pondera su afecto?",disgust
168,G00Q185,"Una de dos: ô las Mugeres solas hàn de ser las Curiosas, y las que se desvelen en andár rastreando quanto sucede, para hacerlo sabroso plato de sus Visitas; ô yá que las Pelucas nos quitan el laurél en esta hazaña, se les debe imponer perpetuo silencio, ê impedìr nos hagan complices de un delito, que ellos posseen como diversion festiva, è inocente.","Yo por mi desgracia me hallo Casada con un Curioso tan fino, que por la menor novedad que se le presente, se estará dos dias sin venir â casa, hasta conseguir hallarse informado de sus menores circunstancias, para despues tener assumpto flamante en las Tertulias","Si el Amigo se pone alguna gala, si la conocida estrene la mas despreciable friolera, todo le alborota, y hace las mas exactas diligencias por sabèr de donde saliò su importe, de donde hà venido: si há sido regalo, quién, y por què causa: si comprado, quando, y còmo: y este mismo, como todos, llama â las Mugeres Curiosas, y pondèra por insufrible nuestra curiosidad.",sadness
173,G00Q205,No pensaba ella sino en los medios de hacer á su marido mas llevaderos sus trabajos.,"Se le presentaba siempre lleno el semblante de serenidad, y tan contenta como pudiera en medio de la abundancia y las riquezas.","El dia que no tenian que comer parecia mas alegre aún, y mas risueña de lo que acostumbraba.",joy
176,G00Q206,"Si lo que trabajó para sus amigos, lo huviera hecho para sí, le veriamos hoy colocado en uno de los primeros empleos.","Y estos mismos amigos le miran con indiferencia, punto menos que en la miseria de que él los sacó, y de que son ellos la verdadera causa.",¡O tiempos!,anger
182,G00Q210,Paysano y Amigo: no estrañe Vm. que no concurra hoy à la cita de ayer: no estoy enfermo;,"pero un accidente peor para mí que una buena enfermedad me obliga à guardar Casa por algunos dias, y à no presentarme donde Gentes me vean la cara, hasta que à todas se les haya borrado de la imaginacion mi fisonomía.","Creo que si saliese por esas calles, habian de soltar la risa quantos me viesen.",fear
185,G00Q190,"Porque siendo una materia que toca tan en el fondo de nuestras costumbres, se reserba para su oportuno lugar, en donde se hará demonstracion de las justisimas causas por que la ilustracion de los siglos ha hecho combeniente y necesaria la variacion de sistéma en éste particular, y la que subcesibamente ba adquiriendo cada dia, para no ser la burla y el oprobio del mundo, y hacer algun papel entre sus Naciones cultas, y civilizadas","De aqui es que no hablará una palabra en asunto de la moda, aquel ente que, en sentir de nuestros Catones, trae en perpetuo jiro y continuo mobimiento los cerebros vacíos, ligeros, y volatiles.","Pues es tanto, y todo tan bueno lo que tengo muchos dias há trabajado en defensa de éste hermoso, y estupendo fanatismo de la Sociedad, que aun teniendo cabimiento en el designio de la presente obra, no le tendria en toda la extension de éstos Preliminares",no emotion
188,G00Q191,"¿qué les pareció à V.ms. la novia? ¿No es verdad, que embestia con aquel vestido? Pues el aderezo, que tenia, no es cosa.","Tal qual diamantillo tiene; pero lo demás son chispas, y todo ello de muy mal gusto.","¿Y el novio? ¡Jesus, qué hombre tan cerril! A mí me pareció que estaba espantado.",disgust
190,G00Q215,¿quánto mejor estaría frente à frente del toril en una tarde de toros?”,"A mí me hizo reir este ofrecimiento, mas no asi al otro, à quien antes le irritó tanto, que à breves razones vino à decirle que era un herege, y que su proposicion era no tan solamente impía, heretica, erronea, y escandalosa, sino tambien capciosa, y piarum aurium ofensiva:","y apurado un poco añadió, que se la daría condenada in terminis en el Concilio Lateranense.",anger
193,G00Q216,"Pero otro le dice una palabra injuriosa: la sufre con paciencia, y por el infame placer de la venganza no quiere, contraviniendo à todas las Leyes divinas y humanas, exponer su vida, ni la del otro.","Es un cobarde, un vil, un indigno de los honores que goza, y de alternar con quien tenga el corazon bien puesto.","Otro al contrario, la juega con una fiera, sin necesidad, ni utilidad alguna, ò acaso por un vil interés.",disgust
206,G00Q227,¡O si renaciesen aquellos felices tiempos en que en nuestra España iban las mugeres á suplir por sus maridos á los Oficios del Coro!,¡Qué delicia no sería oirlas entonar con sus encantadoras voces el Te Franciscum laudamus por alguna victoria contra infieles!,"En fin si no temiera cansaros, con gusto os contaria, amados Clientes mios, otros mil primores no solo teológicos y morales sino tambien históricos y políticos que se hallan en este libro.",joy
210,G00Q231,Tenia yo (lo confieso) mi poquitito de envidia al ver que el Domine Censor y su Corresponsal nos daban en cuerpo y alma mil cartas que se les remitian;,"y como nadie hasta ahora se habia acordado de mí para este efecto, y debia trabajarlo todo por mí mismo, me iba desanimando poco á poco de mi empeño.","Pero, gracias á Dios, ya llegó tambien mi hora, y tengo la satisfaccion de publicar no una Carta como quiera, y en que yo no haya tenido parte alguna;",sadness
211,G00Q232,"Es una maxîma de gobierno que varios han seguido, quando la mayor ó mas distinguida y principal parte de un Pueblo concurrió á algun grave delito, hacerse desentendidos de él, para no castigarlo haciendo perder de un golpe al Estado un gran numero de Ciudadanos que pueden servirle con utilidad.","Una cosa semejante creen ellos que ha de sucederles en el Tribunal Supremo, respecto de aquellas acciones delinqüentes, en las quales tienen por complice á la muchedumbre.","Pareceles que ya que no del todo aniquilada, podrá ser á lo menos notablemente disminuida la gravedad, y por consiguiente la pena de un delito por el gran número de los que le cometen, y se imaginan que una culpa, cuyo peso sería excesivo para los hombros de un hombre solo, se hace mas ligera repartiendose entre muchos.",no emotion
214,G00Q234,Entretanto veía perderse mi credito de dia en dia.,"La miseria iba á oprimirme, y no me quedaba ya sino este infame medio para librarme de una inminente ruina.","La persuasion, las amenazas, la pintura de la infelicidad que nos esperaba, vencieron por ultimo la resistencia de mi esposa.",fear
218,G00Q238,"pongamela Vm. de buen humor porque acabo de hacerla una trabesurilla, y si Vm. no lo remedia me temo que hemos de estar esta noche de Aguilas Imperiales.","Le hemos manifestado varias veces quán impropias nos parecen de un hombre bien educado, y quanto nos ofenden éstas y otras expresiones;",pero no hemos conseguido sino empeñarle mas y mas en sacarnos los colores á la cara.,anger
224,G00Q244,"(sin duda con la intencion de que el mayorazgo no saliese de la linea) y asi aunque veían me dominaba la pasion del miedo, no tiraron á quitarmela, ni á fortalecer mi corazon;","antes mas me le afeminaron, y era tal el temor que me causaban los Duendes, que en oyendo á á",¿cómo podia yo (¡mal de mis pecados!) causar miedo á quien venía á ponermele?,fear
233,G00Q253,"No obstante procurando esforzarme, y habiendo vuelto un tanto de mi primera turbacion, quise llegarme a ellos para apurar mis dudas é implorar su favor.","Mas yo no sé como entorpecidas por una especie de encanto mis piernas, al primer paso que fuí a dar caí tendido en tierra, de que no sin mucha fatiga pude levantarme.","Víme entónces cercado de aquella gente, que, sin contextar á ninguna de mis preguntas, me consideró inmóvil por largo espacio",surprise
238,G00Q257,Pero ¿para qué se detienen mis labios en expresiones que recuerdan las tristes sombras que obscurecían la sociedad? Llegó por fin la época feliz del candor é ilustracion.,"La aurora de un nuevo periódico se presenta apacible á la sociedad, y la anima con indecible esplendor.","Ya, ya pueden gloriarse los ingenios de ver sus bellas ideas comunicadas á sus compatriotas.",joy
