ID;Sentence;GPT;Explanation
G00Q155;Amigo mio, es defecto de historia pensar de este modo: desde los Griegos hay memoria de pendientes, de rizos, de calzados, de adornos, de faustos, de viandas regaladas.;Neutral;Statement about historical memory and practices.
G00Q161;Grande es este golpe, no lo niego, pero mayor es el de aquellos, que por descuido, ò ignorancia dieron causa suficiente á este daño.;Negative;References to a significant "golpe" (blow or setback) and "daño" (damage) denote negative sentiment.
G00Q162;Tan flaca, y consumida, que parecía retrato de la misma necesidad.;Negative;Description of someone as "flaca" (skinny) and "consumida" (worn out) indicates negative sentiment.
G00Q163;¿qué otro empleo la dán mas, que obligarla à celebrar unos hombres, que por viles, ò murieron entre las fatigas de un lazo, ò à las iras crueles de una venganza?;Negative;Reference to "viles" (vile) and "iras crueles" (cruel anger) indicate negative sentiment.
G00Q146;Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes, y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle, y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.;Negative;The use of words such as "calumnia" (slander), "impostura" (deception), and "lepra" (leprosy) indicate negative sentiment.
G00Q155;Amigo mio, es defecto de historia pensar de este modo: desde los Griegos hay memoria de pendientes, de rizos, de calzados, de adornos, de faustos, de viandas regaladas.;Neutral;It speaks to historical memory, no clear positive or negative sentiment.
G00Q164;Ni tantos ancianos, que en la mas estrecha angustia de la escaséz, buscan el pan con el doble sudor de su rostro, sudan en adquirirle mendigando, y sudan con la vergüenza de haberle de procurar pidiendo.;Negative;The sentence describes the struggles of elders in scarcity and the shame of begging.
G00Q165;Pero será dichoso, y feliz en su estado: no poseerá abundancias, ni se verá lisonjeado,;Neutral;Mixed sentiment: mentions being "happy" but also not having abundance.
G00Q166;No està en esto la gracia, sino es que apenas se vió correspondido, se ausentó de casa, y se fue con sus engaños à otra parte, quedandonos à la Luna de Valencia, sin uno, y sin otro, y la niña tan apesadumbrada, que por poco la pobrecita se muere: estuvo muy mala.;Negative;The sentiment is negative, highlighting abandonment and distress.
G00Q167;Qué contento me hallaba, no obstante mi fatalidad, à el mirar, que si me faltaba la hacienda, la tenìa depositada en aquellos, que tanto se ofrecian, y tan promptos habian ocurrido à mi socorro!;Positive;The sentence expresses contentment despite difficulties.
G00Q168;porque yo, quando escribo una carta, à excepsion de la fecha, la firma, y el muy señor mio, todo lo demás me cuesta mas gotas de sudor, que si estubiera cabando,;Negative;The task of writing is described as more laborious than manual work.
G00Q171;¡valgate Dios por nombre, que aún assi engendras sustos, parasismos, y aborrecimiento!;Negative;The expression points towards fear and abhorrence.
G00Q172;.¿Pues no há reparado Vm. mi alma (la réplica) à Madama Polonia, que llegò havrá quince dias de Parìs, què manera tan discreta de peynarse, y què bello gusto de Batas que trae?;Positive;Admiration of Madama Polonia's style and attire.
G00Q173;Todo esto llevará con paciencia, si su asèo, y prolixa compostura se ordenára â conplacerme, pero es muy â el contrario, porque su merced es Cortejo, y hace tanta vanidad de serlo, que quando està de humor me refiere las gracias de su querida, me pondera sus chistes, y alaba su hermosura: vea Vm. què refresco para quien se halla atabardillada de Zelos.;Negative;Expression of jealousy and discontent.
G00Q174;Lucio es un ingrato, es un Hombre, que entrega â el olvido los mayores favores, pues en el tiempo de su miseria le socorrì con generosidad, y ahora que yá de nadie necessita, no hace caso de quien tanto le sirviò;Negative;Lucio is described as ungrateful and forgetful.
G00Q176;Tenía muchissima confianza de mi, como que se hacía cargo de la prenda, que tenìa en Casa.;Neutral;Expression of trust without clear positive or negative sentiment.
G00Q177;En pocas partes del Mundo se vè con mas frequencia este desorden, que en esta Ciudad.;Negative;Highlighting disorder prevalent in the city.
G00Q179;Estas fingidas esperanzas, y las importunas ponderaciones de todos los que me trataban, como conquistados de sus regalos, me llevaron voluntariamente â manos de mi mayor desgracia.;Negative;False hopes led to misfortune.
G00Q180;Si esto intentàra, sería un disparate: lo que culpo, y condeno como indigno, no es aquel sentimiento discreto, que se forma de los males, regulandole siempre con lo justo, para que no exceda su linea, y passe â ser impaciencia, ô desesperacion: no es este, porque assi es precisso, y honesto,;Neutral;Differentiates between impatience/desperation and discreet feeling.
G00Q181;En pocas partes del Mundo se vè con mas frequencia este desorden, que en esta Ciudad.;Negative;Highlighting disorder prevalent in the city (repeated sentence).
G00Q201;Examinense las Historias de los Egypcios, y de los Hebreos, y se encontrará crecido numero de impostores, que abusando de la débil credulidad de los hombres, se jactaban de curar las enfermedades mas inveteradas, por medio de amuletos, talismanes, adivinaciones, y especificos.;Negative;Impostors exploit the gullibility of people.
G00Q183;En fin Vm. no estrañe el modo de explicarme, porque realmente estoy loco, no sè lo que me digo: y lo peor es, que aunque lo conozco, no lo puedo remediár;Negative;Use of words like "loco" (crazy) and "lo peor" (the worst) indicates a negative sentiment.
G00Q184;Señora Culta, su Carta es un farrago de los mas despreciables, y en su obscuro contexto se mira la satisfaccion de su duda.;Negative;Phrases like "farrago de los mas despreciables" (jumble of the most despicable) show negative sentiment.
G00Q185;Yo por mi desgracia me hallo Casada con un Curioso tan fino, que por la menor novedad que se le presente, se estará dos dias sin venir â casa, hasta conseguir hallarse informado de sus menores circunstancias, para despues tener assumpto flamante en las Tertulias;Negative;"por mi desgracia" (because of my misfortune) suggests negative sentiment.
G00Q203;Llega á tanto nuestra estoildéz, que pasa los limites de lo racional, pues nos dexamos regir de la vanidad, monstruo tan poco escrupuloso, que vive contento en las lobreguezes, siendo solamente éco que resuena, afan de desperdicios, tarea de inutilidades, tela de Arachne, y finalmente, carencia de un todo.;Negative;Description of "vanity" as a monster and references to wastefulness indicate negative sentiment.
G00Q204;¿Què mayor locura, que sin embargo de ser yo un hombre docil, de buena pasta, y sin malicia, aseverar, que soy un satyrico, perverso, y mal humorado?;Negative;Words like "locura" (madness), "satyrico" (satirical), "perverso" (wicked), and "mal humorado" (bad-tempered) point towards a negative sentiment.
G00Q182;Todas las Señoras estabamos muy contentas con èl, quien se hacia pagar muy bien por su especial havilidad, y bello gusto: encargandole nosotras, que por ningun motivo vistiesse de aquella manera â ninguna Muger humilde, porque le hariamos dàr de palos, y desterràr de la tierra.;Mixed;The sentence starts with a positive sentiment ("muy contentas", very happy) but ends with threats of violence, making it mixed.
G00Q205;Se le presentaba siempre lleno el semblante de serenidad, y tan contenta como pudiera en medio de la abundancia y las riquezas.;Positive;"lleno el semblante de serenidad" (full of serenity) and "contenta" (happy) in the context of abundance indicates positive sentiment.
G00Q187;Pero vease â uno de estos tenidos por infelices, que bien hallado con su suerte, vive apartado de la confussion de las Cortes, y Ciudad es [sic], como todas sus riquezas son verdaderas, sus adornos sencillos, pero suficientes, sus diversiones durables, inocentes, y sossegadas, sin que le quede â el corazon el menor remordimiento de su práctica.;Positive;References to genuine riches, simple adornments, and lasting, innocent diversions suggest positive sentiment.
G00Q206;Y estos mismos amigos le miran con indiferencia, punto menos que en la miseria de que él los sacó, y de que son ellos la verdadera causa.;Negative;"miran con indiferencia" (look with indifference) and "miseria" (misery) denote negative sentiment.
G00Q186;Se vè sujeto â las trayciones, expuesto â los engaños de tantos viles intentos como procuran usurparle su hacienda.;Negative;Words like "trayciones" (betrayals) and "engaños" (deceptions) indicate a negative sentiment.
G00Q188;De esta continuacion de aplausos ha venido â hacerse de un genio tan atrevido, y falto de politica, que â todos increpa de ignorantes, sola su opinion es la mas segura, y lo que es mas (aquí entro yo) quiere, y pretende que las Damas, que nos hallàmos oprimidas de mil cuydados domesticos, seámos Philosophas, Naturalistas, Hystoriadoras, y Geometras.;Negative;The context of belittling others and highlighting the pressures on women show negative sentiment.
G00Q207;Esta sábia República tenia establecida la pena de muerte muy raras veces, y solo por crimenes muy graves.;Neutral;The statement is factual about the republic's approach to capital punishment.
G00Q189;Mil veces quise matarme, pero mi desgracia quitò el valor â mi determinacion: y combatida por los fingidos halagos de al [sic] que me diò el ser, la obedecí ignorante, y engañada, llenandose desde aquel dia mi Casa de abundancia, ê infamia;Negative;"quise matarme" (wanted to kill myself) and "infamia" (infamy) denote a strong negative sentiment.
G00Q210;pero un accidente peor para mí que una buena enfermedad me obliga à guardar Casa por algunos dias, y à no presentarme donde Gentes me vean la cara, hasta que à todas se les haya borrado de la imaginacion mi fisonomía.;Negative;An unfortunate event described as "peor que una buena enfermedad" (worse than a good illness) indicates negative sentiment.
G00Q212;Sabe valerse, perdida enteramente la verguenza, de mil artificios, que el uso, y una larga experiencia le han enseñado, para aparentar su miseria.;Negative;"perdida enteramente la verguenza" (completely lost shame) and "miseria" (misery) point towards negative sentiment.
G00Q213;Pues, Amigo, sepa Vm. que todo se lo llevó el diablo, si Vm. no me vale,;Negative;The phrase "todo se lo llevó el diablo" suggests a negative event or outcome.
G00Q214;Si tal vez sus expresiones son un poco atrevidas, y sus comparaciones odiosas, deben permitirse à un hombre, que no ha nacido con la obligacion de hablarnos segun nuestro gusto.;Neutral;Though the expressions mentioned are "atrevidas" and "odiosas", the sentence implies an acceptance or justification.
G00Q191;Tal qual diamantillo tiene, pero lo demás son chispas, y todo ello de muy mal gusto.;Negative;"de muy mal gusto" indicates a negative sentiment.
G00Q215;A mí me hizo reir este ofrecimiento, mas no asi al otro, à quien antes le irritó tanto, que à breves razones vino à decirle que era un herege, y que su proposicion era no tan solamente impía, heretica, erronea, y escandalosa, sino tambien capciosa, y piarum aurium ofensiva:;Negative;Words such as "irritó", "herege", "impía", "erronea", "escandalosa" contribute to a negative sentiment.
G00Q192;La epidemia, Señor, ha cundido tanto, que el infierno no se conoce, ni las gentes se entienden.;Negative;"epidemia", "infierno" and "gentes no se entienden" suggest negative circumstances.
G00Q216;Es un cobarde, un vil, un indigno de los honores que goza, y de alternar con quien tenga el corazon bien puesto;Negative;Adjectives like "cobarde", "vil", and "indigno" denote a negative sentiment.
G00Q194;Pero en cambio de estos beneficios, ¡qué tributos de reconocimiento no adquirió aquel magnánimo corazon!;Positive;The word "magnánimo" and "reconocimiento" imply a sense of gratitude and positivity.
G00Q196;¿con qué cara podrá decir este animal, que tiene sesenta años, no haviendo aprendido en ellos à dominar sus pasiones, à despojarse de los antojos de la niñéz, y de los ímpetus ciegos de la juventud, à conocer los principios de su Religion, ni à dár tributo de adoracion al Señor de todo lo criado?;Negative;Terms like "animal", "no haviendo aprendido", "ímpetus ciegos" suggest negative feelings.
G00Q198;Finalmente, èl és racional y como tal apetece las diversiones.;Neutral;It's a statement of fact that he desires diversions being rational.
G00Q218;¿Sabia vmd. acaso hasta que nos reveló el secreto dicho venerable Colector de Comedias, que Racine habia sido un imbecil, Cosme Damian, un hombre falto de juicio, y de talento crítico?;Negative;Describing Racine as "imbecil" and Cosme Damian as lacking judgment is negative.
G00Q199;¿Què mayor locura, que sin embargo de ser yo un hombre docil, de buena pasta, y sin malicia, aseverar, que soy un satyrico, perverso, y mal humorado?;Neutral;Contrasting positive qualities ("docil", "de buena pasta") with negative accusations makes this neutral.
G00Q219;¿qué juicio formaria su merced de un Médico que llamado á curar un Escrofuloso, Elephanciano ó Ethico, descuidase estos tres terribles males, y emplease solamente su charlataneria en medicarle un sabañon ó un uñero?;Negative;The sentiment towards the physician's behavior is negative, as evidenced by "charlataneria" and "descuidase estos tres terribles males".
G00Q220;Ellos están en la posesion (no sé si inmemorial) de divertir y entretener á la cazuela con su buen humor y gracias poëticas, y consiguientemente tienen á su favor todo Madrid.;Positive;"buen humor", "gracias poëticas", and having "todo Madrid" in their favor suggest positivity.
G00Q223;pero decir como muchos, eso no vale nada, eso es un asco, y no probarlo, ya vé vmd. que son expresiones muy vagas, muy despreciables, y que todo hombre de juicio se rie de los que fallan por este estilo.;Negative;"eso no vale nada", "eso es un asco", "expresiones muy vagas, muy despreciables" are negative expressions.
G00Q224;Homero era un famoso Astrólogo politico, que adivinando las funestas resultas de semejantes desordenes, queria con la moral de su obra curar males tan graves.;Neutral;Though "funestas resultas" and "desordenes" are negative, the sentiment towards Homero's intent is neutral as it portrays his attempt to address the issues.
G00Q213;Pues, Amigo, sepa Vm. que todo se lo llevó el diablo, si Vm. no me vale,;Negative;The phrase "todo se lo llevó el diablo" suggests a negative event or outcome.
G00Q214;Si tal vez sus expresiones son un poco atrevidas, y sus comparaciones odiosas, deben permitirse à un hombre, que no ha nacido con la obligacion de hablarnos segun nuestro gusto.;Neutral;Though the expressions mentioned are "atrevidas" and "odiosas", the sentence implies an acceptance or justification.
G00Q191;Tal qual diamantillo tiene, pero lo demás son chispas, y todo ello de muy mal gusto.;Negative;"de muy mal gusto" indicates a negative sentiment.
G00Q215;A mí me hizo reir este ofrecimiento, mas no asi al otro, à quien antes le irritó tanto, que à breves razones vino à decirle que era un herege, y que su proposicion era no tan solamente impía, heretica, erronea, y escandalosa, sino tambien capciosa, y piarum aurium ofensiva:;Negative;Words such as "irritó", "herege", "impía", "erronea", "escandalosa" contribute to a negative sentiment.
G00Q192;La epidemia, Señor, ha cundido tanto, que el infierno no se conoce, ni las gentes se entienden.;Negative;"epidemia", "infierno" and "gentes no se entienden" suggest negative circumstances.
G00Q216;Es un cobarde, un vil, un indigno de los honores que goza, y de alternar con quien tenga el corazon bien puesto;Negative;Adjectives like "cobarde", "vil", and "indigno" denote a negative sentiment.
G00Q194;Pero en cambio de estos beneficios, ¡qué tributos de reconocimiento no adquirió aquel magnánimo corazon!;Positive;The word "magnánimo" and "reconocimiento" imply a sense of gratitude and positivity.
G00Q196;¿con qué cara podrá decir este animal, que tiene sesenta años, no haviendo aprendido en ellos à dominar sus pasiones, à despojarse de los antojos de la niñéz, y de los ímpetus ciegos de la juventud, à conocer los principios de su Religion, ni à dár tributo de adoracion al Señor de todo lo criado?;Negative;Terms like "animal", "no haviendo aprendido", "ímpetus ciegos" suggest negative feelings.
G00Q198;Finalmente, èl és racional y como tal apetece las diversiones.;Neutral;It's a statement of fact that he desires diversions being rational.
G00Q218;¿Sabia vmd. acaso hasta que nos reveló el secreto dicho venerable Colector de Comedias, que Racine habia sido un imbecil, Cosme Damian, un hombre falto de juicio, y de talento crítico?;Negative;Describing Racine as "imbecil" and Cosme Damian as lacking judgment is negative.
G00Q199;¿Què mayor locura, que sin embargo de ser yo un hombre docil, de buena pasta, y sin malicia, aseverar, que soy un satyrico, perverso, y mal humorado?;Neutral;Contrasting positive qualities ("docil", "de buena pasta") with negative accusations makes this neutral.
G00Q219;¿qué juicio formaria su merced de un Médico que llamado á curar un Escrofuloso, Elephanciano ó Ethico, descuidase estos tres terribles males, y emplease solamente su charlataneria en medicarle un sabañon ó un uñero?;Negative;The sentiment towards the physician's behavior is negative, as evidenced by "charlataneria" and "descuidase estos tres terribles males".
G00Q220;Ellos están en la posesion (no sé si inmemorial) de divertir y entretener á la cazuela con su buen humor y gracias poëticas, y consiguientemente tienen á su favor todo Madrid.;Positive;"buen humor", "gracias poëticas", and having "todo Madrid" in their favor suggest positivity.
G00Q223;pero decir como muchos, eso no vale nada, eso es un asco, y no probarlo, ya vé vmd. que son expresiones muy vagas, muy despreciables, y que todo hombre de juicio se rie de los que fallan por este estilo.;Negative;"eso no vale nada", "eso es un asco", "expresiones muy vagas, muy despreciables" are negative expressions.
G00Q224;Homero era un famoso Astrólogo politico, que adivinando las funestas resultas de semejantes desordenes, queria con la moral de su obra curar males tan graves.;Neutral;Though "funestas resultas" and "desordenes" are negative, the sentiment towards Homero's intent is neutral as it portrays his attempt to address the issues.
G00Q225;Un malvado insulano con el fin de enriquecer el Fisco, propuso se confiscasen los bienes de cierto miserable que acababa de ser condenado á muerte.;Negative;Describes a wicked intention with the end goal of confiscating someone's assets.
G00Q226;mas como toda cosa mortal declina, hace algun tiempo que la tengo tan quebradiza y delicada como puede ser el honor de una dama en boca de un pisaverde.;Negative;Refers to something declining and equates it to a fragile honor.
G00Q227;¡Qué delicia no sería oirlas entonar con sus encantadoras voces el Te Franciscum laudamus por alguna victoria contra infieles!;Positive;Describes the delight of hearing charming voices.
G00Q228;Deje de pensar por un rato, y ve aqui que de repente se deshacen todas mis dificultades y temores.;Positive;Speaks about difficulties and fears being dispelled.
G00Q229;¿Quántos hay todavia en nuestra España, muy revestidos de Doctores, que no se desprenderán de sus errados systemas, aunque se les ponga á los ojos la evidencia?;Negative;Criticizes those who won't change their erroneous ways despite evidence.
G00Q231;y como nadie hasta ahora se habia acordado de mí para este efecto, y debia trabajarlo todo por mí mismo, me iba desanimando poco á poco de mi empeño.;Negative;Describes feeling discouraged due to being overlooked.
G00Q233;¿Y con qué han de pagar los subditos á su Principe las mercedes que les haga, sino de esta manera?;Neutral;Question about the method of repaying a prince's kindness, without clear positive or negative sentiment.
G00Q234;La miseria iba á oprimirme, y no me quedaba ya sino este infame medio para librarme de una inminente ruina.;Negative;Describes impending misery and resorting to desperate means to avoid ruin.
G00Q236;¿Quién no se horroriza de estas mesas, en las quales nos abstenemos, á la verdad de los manjares prohibidos,;Negative;Expresses horror at the thought of abstaining from certain foods.
G00Q237;Yo le confieso á Vm. que si hubiera previsto su colera no hubiera entrado en la disputa, en que insensiblemente nos hemos empeñado, no teniendo yo en ella interés alguno,;Negative;Admits to regretfully entering a dispute and foresees anger.
G00Q238;Le hemos manifestado varias veces quán impropias nos parecen de un hombre bien educado, y quanto nos ofenden éstas y otras expresiones,;Negative;Expresses disapproval and offense at certain expressions.
G00Q239;¿Quántas injusticias, quántas intrigas interesadas, quántos proyectos de ambicion le hicieron pasar las noches sin reposo?;Negative;Lists various negative actions causing sleepless nights.
G00Q241;¿Roma, en fin, no fue el terror de las Naciones, en tanto que ningun Ciudadano tuvo por pequeña la porcion de tierra que bastaba para mantener á un hombre:;Neutral;Raises a historical question about Rome, without a clear positive or negative sentiment.
G00Q242;¿Qué nacion mas floreciente que los Egypcios no obstante el poder sin limites de seus Reyes, mientras no fueron corrompidos por la ambicion de Sesostris?;Neutral;Raises a historical question about Egyptians, without clear positive or negative sentiment.
G00Q243;Vuelve la cabeza el venerable anciano, y vé ¡ó dolor! ¡ó oprobio!;Negative;The elder witnesses something causing pain and disgrace.
G00Q244;antes mas me le afeminaron, y era tal el temor que me causaban los Duendes, que en oyendo á á [sic] mis criados algun cuento de estos, al instante llenaba la casa de gritos, y me hacía aguas en la cama. Con que siendo asi,;Negative;Describes a heightened state of fear and negative reactions.
G00Q245;Quiso mi desgracia que en aquella tarde viese entre varias Sombras la representacion de un Entierro, que no parecia, sino que ni mas ni menos era un Difunto que llevaban á la hoya entre quatro Terceros:;Negative;Refers to personal misfortune and the visualization of a funeral.
G00Q246;á todos los Actores los estimo con igualdad, y miro por sus intereses, adelantamientos, é instruccion, escribiendo apologías imparciales en defensa del Teatro, y asi en nombre de todos los Cómicos Españoles te doy ahora la agencia de los Coliseos de Madrid, con la precisa condicion de que has de repartir este papelito con la mayor brevedad para que se vea en el tribunal de los Literatos.;Positive;Emphasizes fairness, looking out for interests, and promotion of theatre.
G00Q247;y revolviendo en mi memoria quáles serian, se apareció cerca de mí un mancebo de gallarda presencia que uniendo la hermosura con la seriedad presentaba el aspecto mas amable que pudiera figurar la imaginacion.;Positive;Describes a young man with admirable beauty and seriousness.
G00Q248;Luego á la hora que no quiera creer lo falso, saldrá del error, ó lo evitará.;Positive;Refers to recognizing falseness and avoiding mistakes.
G00Q249;Vió en esto el Sacerdote que le asistia un demonio en figura de jóven muy triste y llorando.;Negative;Describes a sad and crying demonic figure.
G00Q250;Oyéron los golpes dos menestrales, que trabajaban en el claustro, y saliendo á la Iglesia, no solo viéron á la Imágen bañada en sangre, sino que la oyéron quexarse con amargos y sentidos suspiros.;Negative;Relates an unsettling scene with a blood-soaked image and mournful sighs.
G00Q251;es menester que se guarde bien de contribuir ni con sus caudales ni con sus tareas á ningun establecimiento nuevo por mas que se ponderen sus ventajas:;Neutral;Advises caution about contributing to new establishments regardless of their merits.
G00Q253;Mas yo no sé como entorpecidas por una especie de encanto mis piernas, al primer paso que fuí a dar caí tendido en tierra, de que no sin mucha fatiga pude levantarme.;Negative;Describes being incapacitated and struggling to rise.
G00Q254;La verdadera gloria consiste en merecer la gloria.;Positive;Affirms that true glory is earned.
G00Q255;Basten para acreditarlo algunas expresiones que van de bastardilla por su singular belleza y exâctitud.;Positive;Highlights the beauty and accuracy of certain expressions.
G00Q256;Declara este Tribunal que no se admiten empeños ni resortes para que se inserten cartas ni otros papeles en el periódico que publica, pues bastará solo el mérito de la obra para que nosotros lo hagamos sin necesidad de ellos,;Neutral;A declaration about the policy of merit for publication.
G00Q257;La aurora de un nuevo periódico se presenta apacible á la sociedad, y la anima con indecible esplendor.;Positive;Describes the pleasant emergence of a new periodical that uplifts society.
G00Q258;El sexô femenil se concentró en las gracias naturales y sencillas que le dió naturaleza, suprimió los vaidos fingidos, los melindres pueriles, y dexó de hablar tan á menudo de sus jaquecas y vapores.;Positive;Praises the natural graces of the female gender and the renouncement of feigned vanities.
G00Q260;El teatro, decía yo, que deberia ser la escuela de las costumbres de la Nacion, es en España la escuela de la supersticion, del engaño, y de todos los vicios.;Negative;Criticizes the theatre in Spain for promoting superstition and deceit.
G00Q261;"A buen seguro que no es ningun media cuchara, sino un hombre muy hecho, ó se me alcanza poco de achaque de estilos.";Neutral;The sentence seems to make an assessment but does not express strong positive or negative sentiment.
G00Q262;"Diferentes sectas religiosas, costumbres diversas dividian las opiniones de los desdichados Selenitas.";Neutral;The sentence describes a situation without conveying strong sentiment.
G00Q263;"y tales comilonas, las quiero por el provecho de mi salud, en todos los primeros Lunes de cada mes.";Positive;The phrase indicates a preference for certain feasts for health benefits.
G00Q264;"Quémense pues al momento, pero entonces fuera preciso llevar á la hoguera (¡y con quánta mas razon!) todos los ensayos sobre materias particulares, todo discurso suelto, y añadir los compendios, y aun todo libro que tenga índice, pues no se ignora que los índices son, sus maestros mas queridos.";Negative;The text suggests getting rid of certain works, indicating a negative sentiment towards them.
G00Q265;"Nos quexamos continuamente de que nuestros dias son breves, y vivimos como si debiesen ser eternos.";Neutral;The sentence reflects a general observation on human behavior.
G00Q267;"Los dos sexôs, y todos los estados de la república estan inficionados.";Negative;The word "inficionados" (infected) has a negative connotation.
G00Q268;"aplaude la buena educacion Francesa,";Positive;The word "buena" (good) shows appreciation for the French education.
G00Q269;"Si vmd. ama mas las alabanzas que el mérito, aborrezca á lo ménos todo lo que es comun, y no tolere que ninguna persona tenga la osadía de alabarle en su presencia.";Neutral;It's a piece of advice, without strong sentiment.
G00Q270;"Es gallardo jóven, tiene los ojos mas negros, y los dientes mas blancos que he visto en el mundo.";Positive;Describes the youth in a positive light, emphasizing good features.
G01Q02;"Continuamente la oygo decir à sus solas, y mascando, que no quiere hablar, ni decir cosa alguna, pero que teniendo la cabeza sobre la almohada, bien sabe.";Neutral;It describes a behavior without clear positive or negative sentiment.
G01Q03;"Matò à un Joven por haver murmurado de la conducta de una Dama, la que èl mismo havia deshonrado con un proceder infame.";Negative;Words like "mató" (killed) and "deshonrado" (dishonored) convey negative sentiment.
G01Q04;"Pero no havia pisado sus umbrales, quando la Discordia, y el Engaño, seguidos de una numerosa comiva, quedaron suspensos, y atonitos, aguardando con respestuoso silencio, el paradero de una aparicion tan opuesta à su gusto.";Neutral;The sentence describes an event without a clear sentiment.
G01Q05;"Su tierno corazon, su espiritu admirable, su modestia, su urbanidad, su bella presencia, su buena crianza, y la obligacion que tengo à sus rendimientos, desde el primer momento que me viò, merecen la atencion de qualquiera.";Positive;The words like "tierno" (tender), "admirable", "bella" (beautiful), and "buena" (good) express positive sentiment.
G01Q06;"Otra Señorita, hermosa por extremo, garbosa de talle, de un oìdo admirable, y de una voz aplaudida, tiene à pesar de tantas prendas, el defecto, que, quando sale à baylar, sus rancadas, y sacudimientos destemplados, dàn à conocer, que quiere agradar con afectacion ridicula,";Mixed;While the sentence begins with positive descriptors, it ends on a negative note, describing a defect in the lady's dancing.
G01Q16;"El ocioso quiere un espectaculo, que le haga sobrellevar alguna parte del tiempo, que le pesa.";Negative;The phrase "que le pesa" indicates the burden or heaviness of time for the idle person.
G01Q59;"A una persona de esta cláse, se le oirá decir frequentemente: yo soy la persona mas perezosa del mundo.";Negative;Refers to a person as "the laziest in the world".
G01Q60;"Una muger de esta cláse, es sucia en su casa, golosa en su mesa, desaliñada en sus vestidos y persona, y la habitacion que ella ocupa, se asemeja á una caballeriza.";Negative;Negative descriptors like "sucia", "desaliñada", and the comparison to a stable.
G01Q17;"Las quisieron virtuosas, y las tienen virtuosas: ellas les conquistaron con el recato el miramiento, el pundonor, y el retiro, y asi ellos no tienen de que arrepentirse, porque se hallan con mugeres recatadas, de miramiento, pundonorosas, y retiradas.";Positive;Emphasizes virtues and honorable traits.
